refund_id,order_id,refund_date,refund_amount,refund_reason,refund_status
REF-000057,ORD-000620,2025-07-23,3908.68,late_delivery,completed
REF-000058,ORD-000629,2025-12-08,5413.62,damaged_item,completed
REF-000059,ORD-000635,2026-07-26,11499.05,late_delivery,completed
REF-000060,ORD-000641,2025-03-10,8026.61,other,completed
REF-000061,ORD-000643,2026-05-28,550.75,late_delivery,completed
REF-000062,ORD-000645,2025-04-25,7721.01,quality_issue,completed
REF-000063,ORD-000682,2025-11-07,2931.69,other,completed
REF-000064,ORD-000685,2025-04-19,33978.6,other,completed
REF-000065,ORD-000697,2026-07-12,19310.57,quality_issue,completed
REF-000066,ORD-000736,2026-05-21,18525.66,damaged_item,completed
REF-000067,ORD-000745,2026-02-12,27458.79,late_delivery,completed
REF-000068,ORD-000748,2026-03-23,1927.61,late_delivery,pending
REF-000069,ORD-000754,2026-07-28,9677.29,wrong_item,pending
REF-000070,ORD-000759,2026-01-12,2095.96,wrong_item,completed
REF-000071,ORD-000764,2025-09-25,14888.0,wrong_item,completed
REF-000072,ORD-000772,2025-10-05,4201.69,damaged_item,completed
REF-000073,ORD-000783,2026-06-02,16693.56,customer_return,completed
REF-000074,ORD-000792,2026-06-22,5037.07,wrong_item,completed
REF-000075,ORD-000798,2026-07-07,19638.61,other,completed
REF-000076,ORD-000813,2026-01-01,869.87,quality_issue,completed
REF-000077,ORD-000827,2026-07-31,10640.17,customer_return,completed
REF-000078,ORD-000848,2025-12-11,13014.95,late_delivery,completed
REF-000079,ORD-000862,2026-07-21,8921.01,quality_issue,completed
REF-000080,ORD-000866,2026-01-03,10682.23,other,completed
REF-000081,ORD-000872,2025-10-20,13759.85,damaged_item,completed
REF-000082,ORD-000873,2026-01-27,9487.08,late_delivery,pending
REF-000083,ORD-000879,2026-01-30,666.48,customer_return,completed
REF-000084,ORD-000897,2025-05-03,2356.32,other,completed
REF-000085,ORD-000898,2026-06-14,9041.66,late_delivery,completed
REF-000086,ORD-000911,2026-06-07,3113.11,wrong_item,completed
REF-000087,ORD-000923,2026-02-14,6133.45,wrong_item,completed
REF-000088,ORD-000924,2026-05-02,16753.78,late_delivery,completed
REF-000089,ORD-000929,2025-12-13,2454.75,wrong_item,completed
REF-000090,ORD-000951,2026-07-12,7201.73,damaged_item,completed
REF-000091,ORD-000959,2025-11-27,10458.91,other,completed
REF-000092,ORD-000963,2025-12-11,239.45,damaged_item,completed
REF-000093,ORD-000965,2026-05-01,1689.35,damaged_item,completed
REF-000094,ORD-000968,2025-11-13,6282.76,other,completed
REF-000095,ORD-000975,2026-07-31,6651.78,late_delivery,completed
REF-000096,ORD-000976,2026-04-28,3737.93,wrong_item,pending
REF-000097,ORD-000977,2025-05-14,25791.14,damaged_item,completed
REF-000098,ORD-000980,2026-07-31,9814.3,quality_issue,completed
REF-000099,ORD-000984,2026-06-30,8049.03,quality_issue,pending
REF-000100,ORD-001008,2025-06-10,795.53,damaged_item,completed
REF-000101,ORD-001018,2026-07-17,28029.21,late_delivery,completed
REF-000102,ORD-001022,2026-02-03,4614.14,damaged_item,completed
REF-000103,ORD-001027,2025-07-28,7398.57,damaged_item,completed
REF-000104,ORD-001035,2026-04-15,2259.63,wrong_item,pending
REF-000105,ORD-001043,2026-07-31,1561.05,late_delivery,completed
REF-000106,ORD-001046,2026-07-30,12049.24,other,completed
REF-000107,ORD-001052,2026-02-11,1348.48,quality_issue,completed
REF-000108,ORD-001070,2025-12-12,2499.42,late_delivery,completed
REF-000109,ORD-001082,2025-11-22,6420.98,quality_issue,completed
REF-000110,ORD-001089,2026-03-05,3298.8,quality_issue,completed
REF-000111,ORD-001113,2025-12-04,16631.17,customer_return,completed
REF-000112,ORD-001174,2025-10-14,11883.96,customer_return,completed
REF-000113,ORD-001175,2025-05-12,10192.34,quality_issue,completed
REF-000114,ORD-001192,2025-10-15,3552.83,damaged_item,completed
REF-000115,ORD-001209,2026-03-29,14158.88,other,completed
REF-000116,ORD-001216,2026-07-29,14462.59,customer_return,completed
REF-000117,ORD-001217,2026-07-15,2333.57,customer_return,completed
REF-000118,ORD-001225,2025-10-18,8211.13,damaged_item,completed
REF-000119,ORD-001250,2026-07-31,1349.75,other,completed
REF-000120,ORD-001284,2026-07-31,7939.01,damaged_item,completed
REF-000121,ORD-001294,2026-01-24,28594.11,late_delivery,completed
REF-000122,ORD-001297,2026-07-13,4841.35,wrong_item,completed
REF-000123,ORD-001322,2026-07-31,4219.18,customer_return,completed
REF-000124,ORD-001380,2025-11-06,4019.58,customer_return,completed
REF-000125,ORD-001381,2026-07-18,5788.33,late_delivery,completed
REF-000126,ORD-001395,2026-07-20,2815.16,quality_issue,completed
REF-000127,ORD-001400,2026-07-23,43542.68,other,completed
REF-000128,ORD-001422,2025-10-05,9868.91,late_delivery,completed
REF-000129,ORD-001428,2026-03-05,2761.56,damaged_item,completed
REF-000130,ORD-001429,2025-04-27,4579.11,customer_return,completed
REF-000131,ORD-001439,2025-12-30,1492.45,damaged_item,completed
REF-000132,ORD-001453,2026-07-04,34889.38,customer_return,completed
REF-000133,ORD-001456,2026-04-19,15786.75,wrong_item,completed
REF-000134,ORD-001457,2026-04-08,17804.49,other,completed
REF-000135,ORD-001478,2026-07-31,7607.15,late_delivery,completed
REF-000136,ORD-001488,2026-07-11,20545.38,damaged_item,completed
REF-000137,ORD-001493,2025-07-11,8890.09,late_delivery,completed
REF-000138,ORD-001495,2026-03-15,19793.59,quality_issue,completed
REF-000139,ORD-001500,2026-01-15,9560.28,wrong_item,completed
REF-000140,ORD-001524,2025-12-21,13329.25,customer_return,completed
REF-000141,ORD-001533,2026-05-20,9304.04,wrong_item,completed
REF-000142,ORD-001580,2026-01-21,1010.55,other,completed
REF-000143,ORD-001602,2026-01-30,2793.19,late_delivery,completed
REF-000144,ORD-001611,2025-09-10,10589.16,quality_issue,completed
REF-000145,ORD-001615,2025-09-28,12129.86,wrong_item,completed
REF-000146,ORD-001636,2026-06-13,668.11,wrong_item,completed
REF-000147,ORD-001649,2025-04-07,1714.79,wrong_item,completed
REF-000148,ORD-001656,2026-02-03,12088.21,wrong_item,completed
REF-000149,ORD-001669,2026-03-27,22266.34,customer_return,completed
REF-000150,ORD-001672,2026-05-01,7130.79,quality_issue,completed
REF-000151,ORD-001682,2025-03-08,5055.3,customer_return,completed
REF-000152,ORD-001686,2026-06-12,5821.8,customer_return,completed
REF-000153,ORD-001704,2026-02-10,8909.17,quality_issue,completed
REF-000154,ORD-001710,2026-01-19,9574.52,other,completed
REF-000155,ORD-001717,2025-06-19,5822.97,wrong_item,completed
REF-000156,ORD-001722,2025-10-17,547.68,quality_issue,completed
REF-000157,ORD-001732,2025-03-25,362.4,other,completed
REF-000158,ORD-001734,2026-05-15,8377.27,damaged_item,completed
REF-000159,ORD-001735,2025-09-07,3150.95,late_delivery,completed
REF-000160,ORD-001736,2026-07-05,7257.49,damaged_item,completed
REF-000161,ORD-001745,2026-01-15,6553.88,damaged_item,completed
REF-000162,ORD-001747,2026-02-07,1146.86,customer_return,completed
REF-000163,ORD-001754,2026-04-10,7981.32,customer_return,completed
REF-000164,ORD-001769,2025-12-25,7375.11,late_delivery,completed
REF-000165,ORD-001771,2025-08-25,21262.03,late_delivery,completed
REF-000166,ORD-001793,2026-07-31,1681.56,other,completed
REF-000167,ORD-001800,2025-12-13,13211.08,damaged_item,completed
REF-000168,ORD-001814,2025-08-27,23209.59,late_delivery,completed
REF-000169,ORD-001817,2026-07-31,11580.57,other,completed
REF-000170,ORD-001832,2026-07-02,2359.1,wrong_item,completed
REF-000171,ORD-001849,2026-04-06,1301.22,other,completed
REF-000172,ORD-001864,2025-12-12,16831.84,damaged_item,completed
REF-000173,ORD-001896,2025-02-08,7844.98,damaged_item,completed
REF-000174,ORD-001899,2026-05-24,3273.44,quality_issue,completed
REF-000175,ORD-001922,2026-07-26,26113.14,quality_issue,completed
REF-000176,ORD-001924,2025-05-06,12828.67,damaged_item,completed
REF-000177,ORD-001928,2025-10-27,3620.93,quality_issue,completed
REF-000178,ORD-001932,2026-07-31,6506.29,quality_issue,completed
REF-000179,ORD-001952,2026-05-29,3750.99,damaged_item,pending
REF-000180,ORD-001954,2026-04-28,12316.01,wrong_item,completed
REF-000181,ORD-001997,2025-02-12,2800.01,customer_return,completed
REF-000182,ORD-002004,2026-04-16,12200.46,damaged_item,completed
REF-000183,ORD-002008,2025-06-15,50706.45,damaged_item,completed
REF-000184,ORD-002070,2025-12-15,25350.3,other,completed
REF-000185,ORD-002073,2026-05-06,12075.88,customer_return,completed
REF-000186,ORD-002074,2026-06-18,6290.32,wrong_item,completed
REF-000187,ORD-002143,2025-05-24,1347.03,damaged_item,completed
REF-000188,ORD-002147,2026-06-30,1313.4,other,completed
REF-000189,ORD-002157,2026-06-26,2494.91,damaged_item,completed
REF-000190,ORD-002176,2026-03-18,582.94,other,completed
REF-000191,ORD-002186,2026-07-07,10206.69,quality_issue,completed
REF-000192,ORD-002192,2025-09-04,9622.73,wrong_item,completed
REF-000193,ORD-002196,2025-06-17,165.04,customer_return,completed
REF-000194,ORD-002217,2025-04-21,11965.7,wrong_item,completed
REF-000195,ORD-002218,2026-04-02,7361.71,late_delivery,completed
REF-000196,ORD-002235,2025-11-29,795.69,wrong_item,completed
REF-000197,ORD-002260,2025-11-20,2657.19,quality_issue,completed
REF-000198,ORD-002267,2026-04-06,15639.65,customer_return,completed
REF-000199,ORD-002301,2025-12-27,9552.11,late_delivery,completed
REF-000200,ORD-002303,2026-07-28,3936.39,quality_issue,completed
REF-000201,ORD-002305,2025-07-18,7582.49,customer_return,completed
REF-000202,ORD-002328,2026-03-14,1844.7,late_delivery,completed
REF-000203,ORD-002339,2026-04-18,1141.21,late_delivery,completed
REF-000204,ORD-002369,2025-04-11,13369.93,other,completed
REF-000205,ORD-002370,2026-07-31,4150.02,late_delivery,completed
REF-000206,ORD-002379,2026-07-20,8025.55,customer_return,completed
REF-000207,ORD-002387,2026-05-15,9615.13,customer_return,completed
REF-000208,ORD-002403,2026-01-06,1420.88,late_delivery,completed
REF-000209,ORD-002424,2026-06-09,11306.49,late_delivery,completed
REF-000210,ORD-002433,2026-01-11,14586.73,customer_return,completed
REF-000211,ORD-002450,2025-09-20,14663.24,wrong_item,completed
REF-000212,ORD-002457,2026-05-19,2865.03,late_delivery,completed
REF-000213,ORD-002459,2026-07-20,1030.71,customer_return,completed
REF-000214,ORD-002487,2026-07-24,161.94,damaged_item,completed
REF-000215,ORD-002491,2026-04-26,3734.5,wrong_item,completed
REF-000216,ORD-002501,2025-08-05,15583.12,customer_return,completed
REF-000217,ORD-002502,2026-03-21,13588.17,other,completed
REF-000218,ORD-002506,2026-02-23,2107.86,late_delivery,completed
REF-000219,ORD-002536,2026-05-23,1722.94,quality_issue,completed
REF-000220,ORD-002547,2025-03-16,21715.54,damaged_item,completed
REF-000221,ORD-002559,2026-02-19,7106.29,late_delivery,completed
REF-000222,ORD-002609,2025-10-25,2487.34,wrong_item,completed
REF-000223,ORD-002618,2025-09-03,657.69,quality_issue,completed
REF-000224,ORD-002629,2026-06-23,6993.89,wrong_item,completed
REF-000225,ORD-002648,2025-11-16,2852.54,other,completed
REF-000226,ORD-002655,2025-07-31,18307.03,quality_issue,completed
REF-000227,ORD-002663,2025-08-03,8585.36,damaged_item,completed
REF-000228,ORD-002668,2026-02-12,2532.08,quality_issue,completed
REF-000229,ORD-002674,2025-09-11,19655.9,wrong_item,completed
REF-000230,ORD-002683,2026-02-24,10625.71,quality_issue,completed
REF-000231,ORD-002693,2026-01-24,6669.53,late_delivery,completed
REF-000232,ORD-002719,2025-07-28,7138.38,customer_return,completed
REF-000233,ORD-002755,2025-10-18,1975.71,quality_issue,completed
REF-000234,ORD-002767,2025-11-20,7444.93,other,completed
REF-000235,ORD-002789,2026-04-22,490.5,damaged_item,pending
REF-000236,ORD-002794,2026-02-18,368.01,damaged_item,completed
REF-000237,ORD-002821,2025-11-17,5530.31,damaged_item,completed
REF-000238,ORD-002822,2025-07-30,8059.32,damaged_item,completed
REF-000239,ORD-002833,2026-05-24,6314.29,other,completed
REF-000240,ORD-002838,2025-09-25,5213.25,quality_issue,completed
REF-000241,ORD-002860,2026-03-30,2352.98,late_delivery,completed
REF-000242,ORD-002864,2026-02-13,206.11,quality_issue,pending
REF-000243,ORD-002870,2026-02-10,1108.55,customer_return,completed
REF-000244,ORD-002919,2026-07-09,3081.03,quality_issue,completed
REF-000245,ORD-002921,2026-07-20,6783.21,customer_return,completed
REF-000246,ORD-002923,2026-07-17,5694.51,quality_issue,completed
REF-000247,ORD-002951,2025-02-08,4563.39,wrong_item,completed
REF-000248,ORD-002972,2026-02-06,18714.01,other,pending
REF-000249,ORD-002974,2025-04-23,9580.56,quality_issue,completed
REF-000250,ORD-003022,2026-07-31,1685.71,quality_issue,completed
REF-000251,ORD-003042,2026-01-18,9348.82,late_delivery,completed
REF-000252,ORD-003058,2025-07-10,13940.76,quality_issue,completed
REF-000253,ORD-003105,2025-02-01,7170.04,wrong_item,completed
REF-000254,ORD-003112,2026-04-15,10424.82,damaged_item,completed
REF-000255,ORD-003127,2025-01-21,14500.04,quality_issue,completed
REF-000256,ORD-003151,2025-10-26,4934.1,late_delivery,completed
REF-000257,ORD-003177,2026-02-16,3323.03,wrong_item,completed
REF-000258,ORD-003184,2026-07-31,14615.79,customer_return,completed
REF-000259,ORD-003185,2026-07-29,13684.22,damaged_item,completed
REF-000260,ORD-003204,2026-07-31,2760.11,damaged_item,completed
REF-000261,ORD-003212,2026-05-24,1963.89,other,completed
REF-000262,ORD-003215,2025-06-19,13132.08,late_delivery,completed
REF-000263,ORD-003221,2026-06-05,2548.55,late_delivery,completed
REF-000264,ORD-003226,2025-11-25,7054.02,damaged_item,completed
REF-000265,ORD-003253,2026-01-23,5313.8,customer_return,completed
REF-000266,ORD-003261,2026-06-09,9377.34,damaged_item,completed
REF-000267,ORD-003267,2026-07-06,67.92,damaged_item,completed
REF-000268,ORD-003299,2026-07-31,7400.79,wrong_item,pending
REF-000269,ORD-003302,2026-01-10,7691.03,customer_return,completed
REF-000270,ORD-003310,2025-09-12,7038.61,customer_return,completed
REF-000271,ORD-003316,2025-09-28,12748.7,wrong_item,completed
REF-000272,ORD-003318,2025-07-28,23923.13,damaged_item,completed
REF-000273,ORD-003326,2026-05-24,2276.28,wrong_item,completed
REF-000274,ORD-003344,2025-05-13,12970.78,wrong_item,completed
REF-000275,ORD-003347,2025-07-09,1815.99,other,pending
REF-000276,ORD-003364,2026-04-18,4607.77,customer_return,completed
REF-000277,ORD-003378,2026-03-28,3254.82,quality_issue,pending
REF-000278,ORD-003387,2026-04-05,3243.6,other,completed
REF-000279,ORD-003396,2026-07-31,4533.3,quality_issue,completed
REF-000280,ORD-003407,2026-07-06,3041.71,damaged_item,completed
REF-000281,ORD-003415,2025-10-06,16422.57,late_delivery,completed
REF-000282,ORD-003419,2026-07-22,16361.94,late_delivery,completed
REF-000283,ORD-003421,2026-07-31,15261.81,damaged_item,completed
REF-000284,ORD-003433,2026-02-12,4845.7,customer_return,completed
REF-000285,ORD-003435,2026-07-29,15513.6,wrong_item,completed
REF-000286,ORD-003442,2026-07-31,7596.38,wrong_item,completed
REF-000287,ORD-003458,2026-07-09,6071.7,wrong_item,pending
REF-000288,ORD-003475,2026-05-29,10304.46,quality_issue,completed
REF-000289,ORD-003487,2026-04-22,2595.51,customer_return,completed
REF-000290,ORD-003495,2025-08-18,4905.31,other,completed
REF-000291,ORD-003498,2026-07-31,7102.51,damaged_item,completed
REF-000292,ORD-003522,2025-08-14,3092.01,other,completed
REF-000293,ORD-003544,2026-07-10,8286.3,late_delivery,completed
REF-000294,ORD-003571,2026-04-19,9126.01,other,completed
REF-000295,ORD-003598,2026-04-25,1794.45,other,completed
REF-000296,ORD-003603,2025-08-12,1299.74,damaged_item,completed
REF-000297,ORD-003605,2026-05-31,8054.31,other,completed
REF-000298,ORD-003611,2025-08-10,3127.73,quality_issue,completed
REF-000299,ORD-003613,2026-07-20,651.05,late_delivery,completed
REF-000300,ORD-003619,2026-04-25,3282.27,customer_return,completed
REF-000301,ORD-003620,2025-01-15,19942.84,quality_issue,completed
REF-000302,ORD-003631,2026-04-14,8333.87,other,completed
REF-000303,ORD-003635,2025-03-17,2360.18,damaged_item,completed
REF-000304,ORD-003654,2026-05-17,3047.2,other,completed
REF-000305,ORD-003666,2026-06-05,7168.71,quality_issue,completed
REF-000306,ORD-003678,2026-03-25,9571.34,damaged_item,completed
REF-000307,ORD-003692,2025-11-13,4773.79,damaged_item,completed
REF-000308,ORD-003700,2025-03-29,1843.03,late_delivery,pending
REF-000309,ORD-003702,2026-05-02,15311.72,wrong_item,completed
REF-000310,ORD-003710,2026-07-25,8553.52,late_delivery,completed
REF-000311,ORD-003758,2026-07-05,2906.44,customer_return,completed
REF-000312,ORD-003763,2026-04-09,13996.22,late_delivery,completed
REF-000313,ORD-003765,2026-03-06,7700.23,wrong_item,completed
REF-000314,ORD-003775,2025-09-02,19712.22,wrong_item,completed
REF-000315,ORD-003777,2025-11-14,13391.84,late_delivery,completed
REF-000316,ORD-003794,2025-09-08,4196.75,damaged_item,completed
REF-000317,ORD-003804,2026-01-06,18416.13,damaged_item,completed
REF-000318,ORD-003813,2026-03-13,12449.36,late_delivery,completed
REF-000319,ORD-003819,2026-06-14,7589.22,late_delivery,completed
REF-000320,ORD-003821,2026-07-10,12356.67,customer_return,completed
REF-000321,ORD-003831,2026-06-30,16819.57,late_delivery,completed
REF-000322,ORD-003840,2026-02-19,2311.32,wrong_item,completed
REF-000323,ORD-003878,2026-07-31,9301.47,quality_issue,pending
REF-000324,ORD-003879,2025-07-07,370.9,quality_issue,completed
REF-000325,ORD-003927,2026-04-14,906.37,late_delivery,completed
REF-000326,ORD-003933,2026-07-31,11717.24,other,completed
REF-000327,ORD-003935,2026-02-17,7493.84,damaged_item,completed
REF-000328,ORD-003944,2026-02-23,19772.61,customer_return,completed
REF-000329,ORD-003946,2026-06-17,9608.22,late_delivery,completed
REF-000330,ORD-003953,2026-06-21,13481.9,wrong_item,pending
REF-000331,ORD-003957,2025-05-26,5954.28,customer_return,completed
REF-000332,ORD-003961,2025-06-19,9127.5,wrong_item,completed
REF-000333,ORD-003972,2026-05-18,24485.71,late_delivery,completed
REF-000334,ORD-003993,2025-11-21,5473.21,customer_return,completed
REF-000335,ORD-003998,2026-03-27,3354.57,quality_issue,completed
REF-000336,ORD-004009,2026-03-27,4313.86,damaged_item,completed
REF-000337,ORD-004013,2026-07-15,3138.92,other,completed
REF-000338,ORD-004016,2026-07-31,9119.63,late_delivery,completed
REF-000339,ORD-004044,2026-02-18,23741.79,wrong_item,completed
REF-000340,ORD-004062,2025-09-21,6359.96,other,completed
REF-000341,ORD-004072,2025-04-24,10517.08,damaged_item,completed
REF-000342,ORD-004085,2026-05-14,2373.57,damaged_item,completed
REF-000343,ORD-004092,2025-04-18,2232.65,wrong_item,completed
REF-000344,ORD-004100,2026-07-17,22743.96,other,completed
REF-000345,ORD-004126,2026-05-24,30523.93,quality_issue,completed
REF-000346,ORD-004139,2025-02-17,8460.55,late_delivery,completed
REF-000347,ORD-004143,2025-06-14,4958.49,other,completed
REF-000348,ORD-004144,2026-07-07,4012.46,wrong_item,completed
REF-000349,ORD-004159,2026-01-21,285.25,damaged_item,pending
REF-000350,ORD-004175,2026-05-28,30258.09,quality_issue,completed
REF-000351,ORD-004177,2026-04-05,53954.03,customer_return,completed
REF-000352,ORD-004192,2025-05-03,454.4,wrong_item,completed
REF-000353,ORD-004206,2025-12-24,25164.79,damaged_item,completed
REF-000354,ORD-004270,2026-01-13,18723.71,wrong_item,completed
REF-000355,ORD-004273,2025-11-30,16485.29,damaged_item,completed
REF-000356,ORD-004292,2025-05-12,717.79,wrong_item,completed
REF-000357,ORD-004312,2026-06-28,4200.76,wrong_item,completed
REF-000358,ORD-004313,2026-05-10,879.21,damaged_item,completed
REF-000359,ORD-004321,2025-03-29,12693.03,quality_issue,completed
REF-000360,ORD-004335,2026-03-13,3554.88,late_delivery,completed
REF-000361,ORD-004336,2025-04-29,4176.22,wrong_item,completed
REF-000362,ORD-004337,2026-01-22,10850.49,wrong_item,completed
REF-000363,ORD-004344,2026-03-19,360.27,quality_issue,completed
REF-000364,ORD-004349,2026-06-13,1861.01,damaged_item,pending
REF-000365,ORD-004358,2025-03-23,5011.96,late_delivery,completed
REF-000366,ORD-004381,2025-07-24,4870.01,customer_return,completed
REF-000367,ORD-004400,2025-11-05,6706.93,customer_return,completed
REF-000368,ORD-004416,2025-08-27,15317.07,wrong_item,completed
REF-000369,ORD-004456,2026-03-13,34097.92,quality_issue,completed
REF-000370,ORD-004465,2026-06-21,6563.81,customer_return,completed
REF-000371,ORD-004474,2026-05-06,6880.03,late_delivery,completed
REF-000372,ORD-004491,2026-06-14,2908.33,wrong_item,completed
REF-000373,ORD-004494,2025-05-11,1529.57,customer_return,completed
REF-000374,ORD-004495,2026-05-02,16637.84,late_delivery,completed
REF-000375,ORD-004511,2025-12-16,6781.23,late_delivery,completed
REF-000376,ORD-004514,2026-05-26,26233.47,wrong_item,completed
REF-000377,ORD-004521,2025-08-26,8368.61,wrong_item,completed
REF-000378,ORD-004522,2025-06-19,2549.15,quality_issue,pending
REF-000379,ORD-004523,2025-08-15,17158.31,customer_return,completed
REF-000380,ORD-004548,2025-05-16,9190.34,quality_issue,completed
REF-000381,ORD-004571,2026-06-15,9963.26,customer_return,completed
REF-000382,ORD-004601,2026-07-31,4844.89,wrong_item,pending
REF-000383,ORD-004609,2025-05-29,14634.03,other,completed
REF-000384,ORD-004625,2026-06-13,20913.51,other,completed
REF-000385,ORD-004626,2025-10-30,1146.93,customer_return,completed
REF-000386,ORD-004640,2025-08-01,5350.51,wrong_item,completed
REF-000387,ORD-004651,2026-07-31,6002.75,damaged_item,completed
REF-000388,ORD-004690,2026-07-31,12982.55,quality_issue,completed
REF-000389,ORD-004722,2026-06-15,3687.55,damaged_item,completed
REF-000390,ORD-004734,2026-04-07,2414.83,damaged_item,completed
REF-000391,ORD-004741,2025-11-15,2742.32,wrong_item,completed
REF-000392,ORD-004747,2026-07-10,1873.05,late_delivery,completed
REF-000393,ORD-004752,2025-11-09,2069.99,other,completed
REF-000394,ORD-004754,2026-07-31,5282.3,damaged_item,completed
REF-000395,ORD-004757,2025-01-24,814.29,quality_issue,completed
REF-000396,ORD-004758,2025-09-13,4866.96,quality_issue,completed
REF-000397,ORD-004763,2025-07-26,13790.39,late_delivery,completed
REF-000398,ORD-004791,2025-11-08,2901.66,other,completed
REF-000399,ORD-004817,2025-11-30,19528.11,damaged_item,completed
REF-000400,ORD-004833,2025-04-08,4189.24,wrong_item,completed
REF-000401,ORD-004852,2026-04-29,2116.78,wrong_item,completed
REF-000402,ORD-004858,2026-03-03,23541.69,other,completed
REF-000403,ORD-004873,2025-12-19,4660.38,wrong_item,completed
REF-000404,ORD-004877,2026-05-25,15026.27,late_delivery,completed
REF-000405,ORD-004888,2025-09-23,10219.36,quality_issue,completed
REF-000406,ORD-004891,2026-06-14,10531.65,customer_return,completed
REF-000407,ORD-004899,2026-06-19,17932.39,wrong_item,completed
REF-000408,ORD-004900,2026-05-03,5216.91,quality_issue,completed
REF-000409,ORD-004905,2026-06-22,5101.91,quality_issue,completed
REF-000410,ORD-004915,2026-05-20,5876.09,damaged_item,completed
REF-000411,ORD-004925,2026-07-30,5518.28,customer_return,completed
REF-000412,ORD-004954,2025-04-05,3031.33,other,completed
REF-000413,ORD-004963,2025-05-18,1735.89,customer_return,completed
REF-000414,ORD-005009,2026-07-31,220.04,damaged_item,completed
REF-000415,ORD-005011,2025-05-07,28334.55,other,completed
REF-000416,ORD-005024,2026-04-16,19419.69,late_delivery,completed
REF-000417,ORD-005039,2025-06-12,5808.43,damaged_item,completed
REF-000418,ORD-005041,2026-05-21,20389.28,other,completed
REF-000419,ORD-005051,2026-07-31,4847.93,customer_return,completed
