customer_id,signup_date,region,acquisition_channel,customer_segment,customer_status
CUST-00052,2024-07-03,North,organic,regular,active
CUST-00053,2024-12-09,South,social,regular,active
CUST-00054,2025-03-16,North,affiliate,new,active
CUST-00055,2025-04-14,South,social,regular,active
CUST-00056,2024-02-12,West,social,new,active
CUST-00057,2025-05-30,Central,social,regular,active
CUST-00058,2024-05-26,South,organic,regular,active
CUST-00059,2025-12-02,East,organic,regular,active
CUST-00060,2025-10-06,West,paid_search,new,active
CUST-00061,2026-05-20,Central,social,new,active
CUST-00062,2025-12-03,East,paid_search,new,active
CUST-00063,2024-12-12,South,organic,new,active
CUST-00064,2026-07-01,West,referral,new,active
CUST-00065,2025-01-23,South,paid_search,high_value,active
CUST-00066,2024-11-03,Central,paid_search,regular,active
CUST-00067,2026-05-04,South,paid_search,regular,active
CUST-00068,2024-12-15,West,organic,regular,inactive
CUST-00069,2024-03-13,North,email,new,active
CUST-00070,2025-03-19,South,paid_search,regular,active
CUST-00071,2026-01-20,Central,organic,new,active
CUST-00072,2024-06-28,East,referral,new,active
CUST-00073,2025-03-13,East,affiliate,regular,active
CUST-00074,2024-05-03,Central,email,regular,active
CUST-00075,2025-10-09,Central,affiliate,high_value,active
CUST-00076,2025-03-25,South,referral,new,active
CUST-00077,2024-11-08,East,paid_search,regular,active
CUST-00078,2024-08-02,East,social,new,inactive
CUST-00079,2025-06-16,West,social,new,active
CUST-00080,2025-09-23,South,paid_search,regular,inactive
CUST-00081,2026-06-05,South,organic,new,active
CUST-00082,2025-02-16,Central,organic,regular,active
CUST-00083,2024-06-01,Central,email,regular,active
CUST-00084,2026-02-24,West,affiliate,new,active
CUST-00085,2025-08-17,Central,email,high_value,active
CUST-00086,2025-10-22,West,paid_search,regular,active
CUST-00087,2024-04-02,West,organic,regular,active
CUST-00088,2024-10-22,West,paid_search,regular,active
CUST-00089,2025-12-25,East,social,high_value,active
CUST-00090,2026-02-23,East,referral,new,active
CUST-00091,2025-02-14,South,referral,regular,active
CUST-00092,2026-01-29,West,referral,regular,active
CUST-00093,2026-03-04,South,affiliate,new,active
CUST-00094,2025-01-01,South,referral,regular,active
CUST-00095,2026-04-26,East,paid_search,high_value,active
CUST-00096,2024-09-29,South,organic,regular,active
CUST-00097,2024-08-14,South,organic,regular,active
CUST-00098,2025-10-05,West,paid_search,regular,active
CUST-00099,2025-08-23,Central,paid_search,regular,active
CUST-00100,2024-05-12,North,organic,high_value,active
CUST-00101,2026-02-24,North,referral,regular,active
CUST-00102,2024-07-08,South,organic,new,active
CUST-00103,2026-01-29,West,referral,new,active
CUST-00104,2024-01-08,West,email,regular,active
CUST-00105,2026-01-21,North,social,regular,active
CUST-00106,2026-01-12,West,email,regular,active
CUST-00107,2026-01-06,North,paid_search,new,active
CUST-00108,2025-09-19,South,social,new,active
CUST-00109,2025-03-21,Central,organic,regular,active
CUST-00110,2025-10-27,South,referral,regular,active
CUST-00111,2024-09-19,North,paid_search,new,inactive
CUST-00112,2026-01-06,East,paid_search,regular,active
CUST-00113,2025-06-08,East,email,regular,active
CUST-00114,2025-03-09,Central,email,high_value,active
CUST-00115,2025-04-22,Central,paid_search,new,active
CUST-00116,2025-06-20,North,social,high_value,inactive
CUST-00117,2024-02-06,North,organic,regular,active
CUST-00118,2024-05-12,West,email,regular,active
CUST-00119,2024-08-20,South,paid_search,new,active
CUST-00120,2024-04-18,Central,paid_search,regular,active
CUST-00121,2025-02-19,West,organic,regular,active
CUST-00122,2025-09-22,North,paid_search,new,active
CUST-00123,2025-09-09,West,paid_search,regular,inactive
CUST-00124,2025-03-20,North,paid_search,regular,active
CUST-00125,2026-03-17,East,organic,regular,active
CUST-00126,2025-06-17,East,organic,new,inactive
CUST-00127,2024-03-16,East,social,regular,active
CUST-00128,2025-12-22,West,organic,new,active
CUST-00129,2025-06-26,West,email,high_value,active
CUST-00130,2025-08-21,Central,referral,high_value,active
CUST-00131,2025-06-17,Central,paid_search,new,active
CUST-00132,2025-06-06,East,referral,new,active
CUST-00133,2024-03-27,North,organic,new,active
CUST-00134,2025-06-11,West,organic,regular,active
CUST-00135,2026-01-19,Central,email,high_value,active
CUST-00136,2024-10-14,South,email,regular,active
CUST-00137,2025-07-22,East,affiliate,new,active
CUST-00138,2024-01-31,East,organic,new,active
CUST-00139,2024-11-24,North,affiliate,new,active
CUST-00140,2025-02-16,West,paid_search,regular,active
CUST-00141,2026-07-15,South,paid_search,regular,active
CUST-00142,2024-07-22,West,organic,regular,active
CUST-00143,2024-09-18,West,referral,new,active
CUST-00144,2025-01-20,West,organic,high_value,active
CUST-00145,2026-07-25,South,affiliate,new,active
CUST-00146,2026-03-15,South,social,regular,active
CUST-00147,2024-02-03,West,email,high_value,active
CUST-00148,2024-08-09,West,email,regular,active
CUST-00149,2026-02-14,East,affiliate,high_value,active
CUST-00150,2024-02-25,Central,organic,new,active
CUST-00151,2026-03-18,North,organic,regular,active
CUST-00152,2024-09-23,Central,social,new,active
CUST-00153,2026-05-15,North,paid_search,regular,inactive
CUST-00154,2024-10-04,North,organic,new,active
CUST-00155,2025-02-14,East,organic,new,active
CUST-00156,2025-09-16,North,paid_search,new,active
CUST-00157,2024-04-29,North,organic,new,active
CUST-00158,2025-06-09,North,organic,regular,inactive
CUST-00159,2025-04-21,East,referral,regular,active
CUST-00160,2026-01-09,West,paid_search,new,active
CUST-00161,2026-07-28,North,referral,high_value,active
CUST-00162,2025-09-18,West,referral,high_value,active
CUST-00163,2025-01-21,West,organic,new,active
CUST-00164,2025-01-18,North,email,regular,active
CUST-00165,2025-01-29,North,social,regular,inactive
CUST-00166,2026-02-06,Central,email,regular,active
CUST-00167,2024-10-30,West,organic,regular,active
CUST-00168,2024-06-07,East,organic,regular,active
CUST-00169,2024-11-11,West,organic,new,active
CUST-00170,2024-01-23,North,social,new,active
CUST-00171,2024-04-10,South,referral,regular,active
CUST-00172,2024-03-26,West,email,regular,active
CUST-00173,2025-12-28,South,email,regular,active
CUST-00174,2025-11-12,West,referral,new,active
CUST-00175,2025-10-19,East,email,new,active
CUST-00176,2025-03-12,West,organic,new,active
CUST-00177,2025-11-07,East,affiliate,new,active
CUST-00178,2024-06-01,South,paid_search,new,inactive
CUST-00179,2026-04-29,South,organic,regular,inactive
CUST-00180,2025-04-17,South,social,regular,active
CUST-00181,2026-06-03,West,referral,regular,active
CUST-00182,2024-05-24,North,paid_search,regular,active
CUST-00183,2025-04-14,North,social,new,active
CUST-00184,2025-10-18,North,organic,regular,active
CUST-00185,2025-04-12,North,organic,new,active
CUST-00186,2025-02-25,West,organic,high_value,active
CUST-00187,2024-06-06,South,email,new,active
CUST-00188,2024-12-25,Central,affiliate,regular,active
CUST-00189,2024-08-13,North,organic,high_value,active
CUST-00190,2024-10-12,West,paid_search,regular,active
CUST-00191,2025-10-07,East,organic,regular,active
CUST-00192,2025-08-17,South,organic,regular,active
CUST-00193,2025-07-26,Central,social,new,active
CUST-00194,2024-12-07,Central,email,regular,active
CUST-00195,2026-06-24,Central,social,high_value,active
CUST-00196,2024-03-24,South,paid_search,high_value,inactive
CUST-00197,2024-11-19,South,social,regular,active
CUST-00198,2024-04-22,West,organic,new,inactive
CUST-00199,2024-11-16,South,organic,regular,active
CUST-00200,2026-06-26,West,referral,regular,active
CUST-00201,2024-12-12,East,email,new,active
CUST-00202,2026-05-06,East,referral,new,active
CUST-00203,2025-04-12,West,referral,new,active
CUST-00204,2025-10-22,West,social,regular,inactive
CUST-00205,2025-03-07,North,referral,new,active
CUST-00206,2024-09-08,North,paid_search,new,active
CUST-00207,2025-12-21,East,organic,new,active
CUST-00208,2026-07-02,East,organic,high_value,active
CUST-00209,2024-09-06,South,organic,new,active
CUST-00210,2026-01-04,South,organic,new,active
CUST-00211,2024-09-03,West,paid_search,regular,active
CUST-00212,2025-11-07,West,email,new,active
CUST-00213,2026-01-14,East,affiliate,high_value,active
CUST-00214,2025-02-28,South,social,high_value,active
CUST-00215,2025-11-26,South,organic,regular,active
CUST-00216,2024-09-14,East,email,regular,active
CUST-00217,2024-03-16,South,paid_search,regular,active
CUST-00218,2024-04-01,East,organic,new,active
CUST-00219,2025-02-26,West,paid_search,new,active
CUST-00220,2026-05-01,North,paid_search,new,active
CUST-00221,2024-05-01,North,paid_search,new,active
CUST-00222,2025-03-06,South,affiliate,regular,active
CUST-00223,2025-10-26,Central,email,new,active
CUST-00224,2024-07-10,West,email,new,active
CUST-00225,2025-11-11,North,organic,regular,active
CUST-00226,2024-10-16,Central,affiliate,regular,active
CUST-00227,2026-02-01,East,email,new,active
CUST-00228,2025-06-30,East,organic,new,active
CUST-00229,2025-05-31,Central,social,new,active
CUST-00230,2024-06-16,North,social,new,inactive
CUST-00231,2025-03-13,South,paid_search,regular,active
CUST-00232,2026-03-18,East,organic,high_value,active
CUST-00233,2024-01-20,South,social,regular,active
CUST-00234,2025-12-16,West,organic,regular,active
CUST-00235,2025-04-10,South,organic,regular,active
CUST-00236,2025-11-09,North,organic,regular,active
CUST-00237,2025-09-17,South,referral,new,active
CUST-00238,2025-02-12,East,paid_search,new,active
CUST-00239,2024-10-18,North,paid_search,regular,active
CUST-00240,2025-08-14,North,paid_search,regular,active
CUST-00241,2024-05-13,Central,referral,new,active
CUST-00242,2025-07-05,South,social,new,active
CUST-00243,2024-03-31,South,referral,new,active
CUST-00244,2025-09-05,North,paid_search,new,active
CUST-00245,2025-08-16,South,organic,regular,active
CUST-00246,2024-03-21,South,social,regular,inactive
CUST-00247,2025-12-15,East,paid_search,regular,active
CUST-00248,2025-01-27,South,affiliate,new,active
CUST-00249,2026-01-12,Central,referral,new,active
CUST-00250,2024-02-10,Central,social,regular,active
CUST-00251,2024-06-19,North,referral,regular,active
CUST-00252,2025-04-11,North,social,new,active
CUST-00253,2024-06-27,North,paid_search,new,active
CUST-00254,2024-11-07,East,social,regular,active
CUST-00255,2025-09-15,North,organic,regular,active
CUST-00256,2024-05-17,Central,affiliate,high_value,active
CUST-00257,2025-10-01,West,organic,regular,active
CUST-00258,2024-04-08,West,paid_search,regular,inactive
CUST-00259,2024-06-15,East,social,regular,active
CUST-00260,2025-07-08,Central,organic,new,active
CUST-00261,2026-01-18,North,organic,regular,inactive
CUST-00262,2024-06-10,South,email,regular,active
CUST-00263,2024-10-10,South,organic,new,active
CUST-00264,2026-05-22,Central,social,high_value,active
CUST-00265,2026-07-22,East,paid_search,regular,active
CUST-00266,2025-07-02,West,organic,new,active
CUST-00267,2025-02-26,North,organic,new,active
CUST-00268,2024-11-23,Central,email,high_value,active
CUST-00269,2025-07-31,East,referral,high_value,inactive
CUST-00270,2025-07-11,East,organic,regular,active
CUST-00271,2024-10-05,Central,referral,high_value,active
CUST-00272,2024-01-23,South,social,high_value,inactive
CUST-00273,2024-05-23,South,social,regular,active
CUST-00274,2026-06-22,East,email,high_value,active
CUST-00275,2025-01-29,North,email,regular,active
CUST-00276,2025-03-31,South,affiliate,regular,active
CUST-00277,2025-03-17,South,social,regular,active
CUST-00278,2026-01-08,North,social,regular,active
CUST-00279,2024-03-03,Central,paid_search,new,active
CUST-00280,2024-03-19,East,organic,regular,active
CUST-00281,2024-09-17,South,email,high_value,active
CUST-00282,2025-04-04,South,organic,new,active
CUST-00283,2025-09-25,East,paid_search,high_value,active
CUST-00284,2025-04-08,West,organic,regular,active
CUST-00285,2025-02-20,Central,organic,new,inactive
CUST-00286,2026-06-03,Central,social,new,inactive
CUST-00287,2024-06-01,South,social,regular,active
CUST-00288,2025-06-23,South,paid_search,regular,active
CUST-00289,2025-05-26,East,organic,new,active
CUST-00290,2025-03-23,East,paid_search,regular,active
CUST-00291,2026-01-31,East,paid_search,new,active
CUST-00292,2024-09-09,West,email,regular,active
CUST-00293,2026-06-18,East,social,high_value,active
CUST-00294,2024-11-09,South,social,regular,active
CUST-00295,2025-05-29,South,social,regular,active
CUST-00296,2025-05-06,South,referral,regular,inactive
CUST-00297,2026-03-12,North,email,high_value,active
CUST-00298,2025-02-18,North,social,new,active
CUST-00299,2024-09-26,West,social,new,inactive
CUST-00300,2024-01-22,South,organic,new,active
CUST-00301,2024-12-09,South,referral,regular,active
CUST-00302,2026-02-18,East,paid_search,regular,active
CUST-00303,2024-01-11,West,paid_search,regular,active
CUST-00304,2026-04-25,South,referral,new,active
CUST-00305,2025-05-27,West,email,new,active
CUST-00306,2024-05-13,Central,organic,regular,active
CUST-00307,2024-10-12,East,organic,high_value,active
CUST-00308,2025-06-06,West,organic,new,active
CUST-00309,2024-10-25,North,social,new,active
CUST-00310,2024-04-13,Central,organic,new,active
CUST-00311,2025-09-20,South,referral,regular,active
CUST-00312,2025-09-26,Central,referral,new,active
CUST-00313,2024-04-22,East,social,new,active
CUST-00314,2024-09-22,North,social,regular,active
CUST-00315,2024-08-18,North,paid_search,new,active
CUST-00316,2025-09-14,West,organic,regular,active
CUST-00317,2025-11-19,East,email,new,active
CUST-00318,2025-11-16,North,organic,high_value,inactive
CUST-00319,2026-06-04,West,organic,regular,active
CUST-00320,2025-12-26,Central,paid_search,new,active
CUST-00321,2024-10-30,East,organic,new,active
CUST-00322,2024-04-12,East,paid_search,regular,active
CUST-00323,2025-08-02,North,email,high_value,active
CUST-00324,2026-05-13,West,affiliate,new,inactive
CUST-00325,2026-07-08,South,social,new,active
CUST-00326,2024-08-05,Central,affiliate,new,active
CUST-00327,2024-08-11,South,paid_search,regular,inactive
CUST-00328,2024-02-06,East,affiliate,high_value,active
CUST-00329,2024-05-14,South,social,regular,active
CUST-00330,2025-06-07,North,organic,new,active
CUST-00331,2025-05-31,West,referral,regular,active
CUST-00332,2024-12-16,East,paid_search,regular,inactive
CUST-00333,2024-10-19,East,organic,new,active
CUST-00334,2026-02-21,Central,organic,new,active
CUST-00335,2025-03-10,Central,paid_search,regular,active
CUST-00336,2026-02-01,Central,paid_search,regular,inactive
CUST-00337,2026-06-27,South,social,regular,active
CUST-00338,2024-10-26,East,referral,regular,active
CUST-00339,2024-07-10,Central,paid_search,regular,active
CUST-00340,2026-06-17,South,social,new,inactive
CUST-00341,2025-08-22,North,paid_search,new,active
CUST-00342,2024-10-02,West,affiliate,new,active
CUST-00343,2025-08-09,East,organic,high_value,active
CUST-00344,2025-05-01,East,organic,regular,active
CUST-00345,2026-05-04,Central,social,new,active
CUST-00346,2024-08-30,East,email,new,active
CUST-00347,2026-07-23,East,affiliate,regular,active
CUST-00348,2026-06-01,South,social,regular,active
CUST-00349,2024-06-20,South,affiliate,regular,active
CUST-00350,2024-06-05,North,paid_search,new,active
CUST-00351,2025-05-18,West,organic,high_value,active
CUST-00352,2024-02-13,West,organic,regular,active
CUST-00353,2024-10-09,South,organic,regular,inactive
CUST-00354,2025-02-14,South,paid_search,regular,active
CUST-00355,2026-07-03,Central,social,high_value,active
CUST-00356,2026-07-24,North,paid_search,high_value,active
CUST-00357,2024-05-23,East,social,regular,active
CUST-00358,2026-04-20,East,social,regular,active
CUST-00359,2024-03-27,West,email,regular,active
CUST-00360,2025-12-07,North,email,regular,active
CUST-00361,2026-03-08,West,paid_search,regular,active
CUST-00362,2026-04-20,South,paid_search,new,active
CUST-00363,2024-07-30,East,social,new,inactive
CUST-00364,2026-04-22,North,social,high_value,active
CUST-00365,2024-04-20,East,paid_search,high_value,active
CUST-00366,2025-05-04,East,paid_search,high_value,active
CUST-00367,2025-03-19,South,email,regular,active
CUST-00368,2024-10-25,North,social,regular,active
CUST-00369,2024-01-22,South,organic,regular,inactive
CUST-00370,2025-12-29,South,paid_search,new,inactive
CUST-00371,2024-11-13,North,referral,new,active
CUST-00372,2025-09-16,Central,organic,high_value,active
CUST-00373,2025-01-22,South,affiliate,new,active
CUST-00374,2024-12-18,West,organic,regular,active
CUST-00375,2026-04-15,Central,social,regular,active
CUST-00376,2024-03-30,North,paid_search,regular,active
CUST-00377,2025-11-25,West,organic,new,active
CUST-00378,2025-12-05,Central,referral,regular,inactive
CUST-00379,2024-12-24,West,paid_search,new,active
CUST-00380,2024-09-05,East,referral,regular,active
CUST-00381,2024-01-06,East,paid_search,new,active
CUST-00382,2026-06-02,North,affiliate,regular,active
CUST-00383,2026-06-12,East,referral,regular,inactive
CUST-00384,2024-08-15,Central,social,new,active
CUST-00385,2024-02-01,Central,organic,new,active
CUST-00386,2024-04-26,North,email,regular,active
CUST-00387,2024-03-05,West,social,new,active
CUST-00388,2026-02-22,South,referral,new,active
CUST-00389,2026-04-21,Central,paid_search,regular,active
CUST-00390,2024-05-25,North,paid_search,high_value,active
CUST-00391,2025-12-05,Central,organic,regular,active
CUST-00392,2024-06-18,West,email,regular,active
CUST-00393,2024-12-12,North,referral,high_value,active
CUST-00394,2025-07-19,North,organic,regular,active
CUST-00395,2025-11-10,West,email,regular,active
CUST-00396,2026-04-04,North,referral,regular,inactive
CUST-00397,2024-02-13,East,organic,new,active
CUST-00398,2024-07-05,Central,organic,new,active
CUST-00399,2024-09-22,East,email,regular,inactive
CUST-00400,2024-10-20,South,social,new,active
CUST-00401,2026-07-30,East,organic,regular,active
CUST-00402,2026-01-03,North,affiliate,new,active
CUST-00403,2024-10-29,Central,social,regular,active
CUST-00404,2026-07-05,South,referral,new,active
CUST-00405,2025-04-16,South,referral,regular,active
CUST-00406,2025-04-17,South,affiliate,regular,active
CUST-00407,2025-02-13,Central,social,regular,inactive
CUST-00408,2024-05-16,North,paid_search,new,active
CUST-00409,2026-05-31,Central,social,new,active
CUST-00410,2024-01-15,West,organic,regular,active
CUST-00411,2024-06-14,West,email,new,active
CUST-00412,2024-08-05,Central,organic,regular,active
CUST-00413,2024-09-21,West,social,new,active
CUST-00414,2024-05-05,Central,organic,new,active
CUST-00415,2024-01-18,North,paid_search,regular,active
CUST-00416,2025-10-01,West,organic,regular,active
CUST-00417,2026-07-03,East,social,new,active
CUST-00418,2024-04-25,East,affiliate,high_value,active
CUST-00419,2024-10-07,Central,organic,new,active
CUST-00420,2025-04-22,Central,affiliate,regular,active
CUST-00421,2026-05-24,West,affiliate,regular,active
CUST-00422,2025-10-16,East,paid_search,regular,active
CUST-00423,2025-12-23,East,email,regular,active
CUST-00424,2025-07-02,South,paid_search,new,active
CUST-00425,2025-01-28,South,organic,high_value,active
CUST-00426,2024-07-08,South,social,regular,active
CUST-00427,2026-03-26,North,organic,high_value,inactive
CUST-00428,2026-01-28,North,referral,regular,active
CUST-00429,2024-01-25,West,referral,high_value,active
CUST-00430,2025-11-05,East,affiliate,regular,inactive
CUST-00431,2024-03-21,Central,social,regular,active
CUST-00432,2025-11-28,East,social,regular,active
CUST-00433,2026-02-18,North,referral,regular,active
CUST-00434,2024-05-04,North,organic,regular,active
CUST-00435,2025-02-13,South,organic,regular,active
CUST-00436,2024-04-27,Central,social,new,active
CUST-00437,2025-06-19,South,paid_search,regular,active
CUST-00438,2026-05-24,East,paid_search,new,active
CUST-00439,2024-03-18,Central,organic,high_value,active
CUST-00440,2025-01-10,Central,social,new,inactive
CUST-00441,2026-07-06,South,paid_search,new,inactive
CUST-00442,2024-10-11,North,organic,regular,active
CUST-00443,2024-05-05,North,organic,regular,active
CUST-00444,2025-04-06,North,paid_search,regular,active
CUST-00445,2025-04-24,South,referral,high_value,active
CUST-00446,2025-09-17,East,paid_search,new,active
CUST-00447,2024-10-23,Central,email,regular,active
CUST-00448,2026-06-20,East,email,regular,active
CUST-00449,2025-05-06,West,paid_search,regular,active
CUST-00450,2024-09-27,South,affiliate,regular,active
CUST-00451,2026-06-24,West,email,new,active
CUST-00452,2026-05-22,East,social,regular,active
CUST-00453,2025-04-16,Central,organic,regular,active
CUST-00454,2024-01-25,Central,organic,new,active
CUST-00455,2025-07-17,South,referral,high_value,inactive
CUST-00456,2025-06-07,North,affiliate,regular,active
CUST-00457,2024-05-20,South,referral,new,active
CUST-00458,2025-08-21,East,referral,regular,active
CUST-00459,2026-03-04,Central,organic,new,active
CUST-00460,2024-04-10,South,affiliate,new,active
CUST-00461,2025-11-13,West,paid_search,regular,active
CUST-00462,2024-05-13,East,affiliate,new,active
CUST-00463,2025-12-07,South,organic,new,active
CUST-00464,2025-01-30,South,paid_search,regular,inactive
CUST-00465,2024-01-08,West,email,new,inactive
CUST-00466,2026-06-30,West,affiliate,regular,active
CUST-00467,2024-06-06,East,social,regular,active
CUST-00468,2025-07-16,South,paid_search,new,active
CUST-00469,2024-06-20,West,paid_search,regular,active
CUST-00470,2026-05-29,North,referral,new,active
CUST-00471,2025-11-27,Central,paid_search,regular,active
CUST-00472,2026-01-28,South,paid_search,new,active
CUST-00473,2025-02-12,North,social,high_value,active
CUST-00474,2025-03-17,East,paid_search,new,active
CUST-00475,2025-08-21,East,social,regular,active
CUST-00476,2026-01-10,East,paid_search,new,active
CUST-00477,2026-03-09,East,affiliate,new,active
CUST-00478,2024-01-18,Central,referral,regular,active
CUST-00479,2025-09-18,East,referral,regular,active
CUST-00480,2024-04-13,East,social,high_value,inactive
CUST-00481,2024-09-29,East,paid_search,new,active
CUST-00482,2026-02-21,North,email,new,inactive
CUST-00483,2024-08-24,East,affiliate,regular,active
CUST-00484,2026-01-21,South,social,regular,active
CUST-00485,2025-03-13,West,email,high_value,active
CUST-00486,2024-08-08,North,email,high_value,active
CUST-00487,2024-11-11,Central,email,high_value,active
CUST-00488,2025-05-15,East,email,new,active
CUST-00489,2025-12-22,Central,organic,regular,active
CUST-00490,2025-07-25,East,social,regular,active
CUST-00491,2026-05-30,North,social,new,inactive
CUST-00492,2026-03-29,West,organic,regular,inactive
CUST-00493,2025-12-11,West,affiliate,new,active
CUST-00494,2025-07-23,West,social,new,active
CUST-00495,2024-10-01,East,organic,high_value,inactive
CUST-00496,2025-01-24,West,affiliate,new,active
CUST-00497,2024-04-22,Central,email,high_value,active
CUST-00498,2024-12-19,West,email,new,active
CUST-00499,2026-05-23,South,paid_search,new,active
CUST-00500,2025-02-06,West,affiliate,new,active
CUST-00501,2024-04-18,West,paid_search,new,active
CUST-00502,2025-09-07,Central,social,regular,active
CUST-00503,2026-06-26,South,organic,new,active
CUST-00504,2026-03-29,East,social,regular,active
CUST-00505,2024-09-16,West,email,high_value,active
CUST-00506,2025-03-04,East,social,regular,active
CUST-00507,2025-05-16,West,social,new,inactive
CUST-00508,2024-08-22,East,affiliate,regular,active
CUST-00509,2024-09-11,South,email,regular,active
CUST-00510,2024-08-11,West,paid_search,regular,active
CUST-00511,2026-07-26,North,referral,new,active
CUST-00512,2025-12-04,South,email,regular,active
CUST-00513,2026-03-04,West,referral,regular,active
CUST-00514,2026-02-09,West,referral,new,active
CUST-00515,2026-06-23,Central,referral,new,active
CUST-00516,2024-04-10,South,email,high_value,active
CUST-00517,2026-04-11,North,social,new,active
CUST-00518,2024-03-04,Central,organic,new,active
CUST-00519,2025-03-24,North,social,new,active
CUST-00520,2025-07-14,South,email,regular,active
CUST-00521,2024-12-04,South,social,regular,active
CUST-00522,2024-05-18,East,affiliate,new,active
CUST-00523,2024-07-01,Central,organic,regular,active
CUST-00524,2026-02-16,West,paid_search,regular,active
CUST-00525,2024-10-28,West,social,new,active
CUST-00526,2024-10-20,North,paid_search,high_value,active
CUST-00527,2026-05-20,South,organic,new,active
CUST-00528,2024-05-16,East,organic,new,active
CUST-00529,2026-05-13,North,affiliate,high_value,active
CUST-00530,2026-05-18,South,social,regular,active
CUST-00531,2025-07-18,South,organic,new,active
CUST-00532,2024-06-05,North,organic,regular,active
CUST-00533,2024-05-27,East,social,regular,active
CUST-00534,2024-09-26,West,organic,new,active
CUST-00535,2025-06-28,North,email,regular,active
CUST-00536,2024-05-25,East,affiliate,regular,inactive
CUST-00537,2025-03-06,West,organic,new,active
CUST-00538,2024-04-19,West,social,regular,active
CUST-00539,2025-05-24,West,organic,regular,active
CUST-00540,2024-01-21,East,paid_search,new,active
CUST-00541,2025-10-30,West,referral,high_value,inactive
CUST-00542,2024-02-23,South,social,regular,active
CUST-00543,2024-07-03,South,referral,regular,active
CUST-00544,2024-06-14,North,organic,regular,inactive
CUST-00545,2026-02-22,East,paid_search,regular,active
CUST-00546,2024-02-21,South,social,new,active
CUST-00547,2025-02-09,South,social,high_value,active
CUST-00548,2025-07-11,West,referral,regular,active
CUST-00549,2025-05-02,South,organic,regular,active
CUST-00550,2025-10-04,South,affiliate,regular,active
CUST-00551,2026-01-27,North,affiliate,new,inactive
CUST-00552,2025-01-06,East,social,new,active
CUST-00553,2026-02-20,South,paid_search,regular,active
CUST-00554,2024-10-27,South,social,new,active
CUST-00555,2026-07-17,South,paid_search,regular,active
CUST-00556,2025-04-21,West,affiliate,high_value,inactive
CUST-00557,2025-11-25,Central,social,new,active
CUST-00558,2026-04-05,East,referral,new,active
CUST-00559,2026-01-17,West,social,regular,active
CUST-00560,2026-03-13,Central,social,new,inactive
CUST-00561,2025-05-21,Central,email,high_value,inactive
CUST-00562,2024-02-11,East,social,regular,active
CUST-00563,2025-04-10,Central,referral,new,active
CUST-00564,2024-06-20,Central,organic,new,active
CUST-00565,2026-04-18,West,referral,high_value,active
CUST-00566,2024-08-12,East,affiliate,new,inactive
CUST-00567,2024-08-03,North,affiliate,regular,active
CUST-00568,2024-08-23,North,social,new,active
CUST-00569,2025-08-29,East,affiliate,new,inactive
CUST-00570,2025-06-23,East,paid_search,high_value,inactive
