payment_id,order_id,transaction_date,transaction_type,payment_method,transaction_amount,transaction_status
PAY-0000051,ORD-000051,2026-05-26,payment,credit_card,13905.75,successful
PAY-0000052,ORD-000052,2025-10-13,payment,credit_card,17814.29,successful
PAY-0000053,ORD-000053,2026-05-30,payment,credit_card,4446.03,successful
PAY-0000054,ORD-000054,2026-02-09,payment,wallet,27803.61,successful
PAY-0000055,ORD-000055,2025-11-14,payment,wallet,13823.85,successful
PAY-0000056,ORD-000056,2026-01-12,payment,upi,7929.25,successful
PAY-0000057,ORD-000057,2025-08-07,payment,wallet,32792.68,successful
PAY-0000058,ORD-000058,2025-07-01,payment,upi,9995.26,failed
PAY-0000059,ORD-000059,2026-05-29,payment,debit_card,16438.57,successful
PAY-0000060,ORD-000060,2025-10-01,payment,credit_card,5527.05,successful
PAY-0000061,ORD-000061,2025-08-22,payment,upi,4205.99,successful
PAY-0000062,ORD-000062,2025-08-25,payment,net_banking,5893.31,pending
PAY-0000063,ORD-000063,2026-04-08,payment,debit_card,31864.73,successful
PAY-0000064,ORD-000064,2025-07-22,payment,net_banking,33234.0,failed
PAY-0000065,ORD-000065,2026-02-19,payment,credit_card,1750.56,successful
PAY-0000066,ORD-000066,2026-07-05,payment,debit_card,34633.24,successful
PAY-0000067,ORD-000067,2026-06-25,payment,net_banking,932.34,successful
PAY-0000068,ORD-000068,2025-03-16,payment,credit_card,5943.8,successful
PAY-0000069,ORD-000069,2026-01-12,payment,debit_card,12412.68,successful
PAY-0000070,ORD-000070,2025-01-03,payment,net_banking,7857.56,successful
PAY-0000071,ORD-000071,2026-05-07,payment,wallet,22125.83,successful
PAY-0000072,ORD-000072,2026-03-17,payment,net_banking,2401.98,pending
PAY-0000073,ORD-000073,2026-04-29,payment,debit_card,895.57,successful
PAY-0000074,ORD-000074,2026-06-27,payment,upi,19964.01,successful
PAY-0000075,ORD-000075,2026-06-04,payment,credit_card,9604.54,successful
PAY-0000076,ORD-000076,2025-12-25,payment,upi,23231.88,successful
PAY-0000077,ORD-000077,2026-07-14,payment,net_banking,46207.44,successful
PAY-0000078,ORD-000078,2025-02-25,payment,credit_card,40651.17,successful
PAY-0000079,ORD-000079,2026-06-09,payment,debit_card,13088.17,failed
PAY-0000080,ORD-000080,2026-07-29,payment,wallet,29968.26,failed
PAY-0000081,ORD-000081,2025-08-06,payment,net_banking,19871.64,successful
PAY-0000082,ORD-000082,2026-07-19,payment,upi,3629.15,failed
PAY-0000083,ORD-000083,2025-10-20,payment,debit_card,7372.72,successful
PAY-0000084,ORD-000084,2025-09-28,payment,upi,6716.94,successful
PAY-0000085,ORD-000085,2026-03-11,payment,credit_card,12087.39,successful
PAY-0000086,ORD-000086,2025-10-16,payment,net_banking,8946.23,successful
PAY-0000087,ORD-000087,2026-05-21,payment,net_banking,14127.82,successful
PAY-0000088,ORD-000088,2026-02-20,payment,net_banking,3317.48,successful
PAY-0000089,ORD-000089,2025-09-24,payment,upi,10365.93,successful
PAY-0000090,ORD-000090,2026-07-18,payment,net_banking,7870.26,successful
PAY-0000091,ORD-000091,2025-04-17,payment,wallet,2284.02,successful
PAY-0000092,ORD-000092,2026-04-29,payment,credit_card,2849.85,successful
PAY-0000093,ORD-000093,2026-07-17,payment,net_banking,10189.83,successful
PAY-0000094,ORD-000094,2026-07-03,payment,credit_card,9384.36,successful
PAY-0000095,ORD-000095,2026-05-02,payment,upi,23780.62,successful
PAY-0000096,ORD-000096,2025-12-19,payment,net_banking,1788.89,failed
PAY-0000097,ORD-000097,2026-06-26,payment,debit_card,6672.58,successful
PAY-0000098,ORD-000098,2026-07-24,payment,net_banking,9373.12,successful
PAY-0000099,ORD-000099,2026-05-23,payment,net_banking,10328.09,successful
PAY-0000100,ORD-000100,2025-08-06,payment,debit_card,39160.6,failed
PAY-0000101,ORD-000101,2026-07-07,payment,upi,4785.28,pending
PAY-0000102,ORD-000102,2026-05-13,payment,wallet,18646.41,successful
PAY-0000103,ORD-000103,2026-01-26,payment,wallet,20613.18,successful
PAY-0000104,ORD-000104,2026-07-07,payment,credit_card,11762.42,failed
PAY-0000105,ORD-000105,2026-01-29,payment,debit_card,28818.13,pending
PAY-0000106,ORD-000106,2025-08-05,payment,upi,30019.39,successful
PAY-0000107,ORD-000107,2025-04-20,payment,net_banking,7834.03,successful
PAY-0000108,ORD-000108,2026-04-13,payment,credit_card,3140.91,successful
PAY-0000109,ORD-000109,2025-12-17,payment,upi,13421.24,successful
PAY-0000110,ORD-000110,2025-06-12,payment,credit_card,27987.65,successful
PAY-0000111,ORD-000111,2026-04-15,payment,wallet,15164.95,successful
PAY-0000112,ORD-000112,2025-05-21,payment,upi,22344.15,successful
PAY-0000113,ORD-000113,2026-06-07,payment,upi,2919.78,successful
PAY-0000114,ORD-000114,2025-10-06,payment,wallet,9304.42,successful
PAY-0000115,ORD-000115,2025-04-26,payment,credit_card,16332.3,failed
PAY-0000116,ORD-000116,2026-06-30,payment,credit_card,1177.12,successful
PAY-0000117,ORD-000117,2026-05-02,payment,upi,10019.83,failed
PAY-0000118,ORD-000118,2026-06-08,payment,debit_card,2591.78,successful
PAY-0000119,ORD-000119,2025-09-10,payment,wallet,22741.15,successful
PAY-0000120,ORD-000120,2026-04-06,payment,credit_card,5420.64,pending
PAY-0000121,ORD-000121,2026-03-27,payment,net_banking,9800.41,failed
PAY-0000122,ORD-000122,2025-12-11,payment,debit_card,4085.89,successful
PAY-0000123,ORD-000123,2026-06-17,payment,net_banking,3158.1,successful
PAY-0000124,ORD-000124,2026-06-28,payment,credit_card,32166.61,successful
PAY-0000125,ORD-000125,2025-10-16,payment,debit_card,18594.69,pending
PAY-0000126,ORD-000126,2025-12-13,payment,wallet,1364.37,successful
PAY-0000127,ORD-000127,2026-06-14,payment,debit_card,28577.65,successful
PAY-0000128,ORD-000128,2026-07-09,payment,net_banking,14834.75,successful
PAY-0000129,ORD-000129,2026-07-03,payment,credit_card,14527.99,successful
PAY-0000130,ORD-000130,2026-02-26,payment,debit_card,20343.97,successful
PAY-0000131,ORD-000131,2026-04-29,payment,net_banking,13641.34,successful
PAY-0000132,ORD-000132,2025-05-02,payment,debit_card,9142.97,successful
PAY-0000133,ORD-000133,2025-10-31,payment,wallet,10295.67,successful
PAY-0000134,ORD-000134,2026-04-18,payment,net_banking,8862.31,successful
PAY-0000135,ORD-000135,2026-03-03,payment,upi,8376.77,successful
PAY-0000136,ORD-000136,2026-04-23,payment,upi,36537.9,successful
PAY-0000137,ORD-000137,2025-03-22,payment,wallet,24623.06,successful
PAY-0000138,ORD-000138,2025-02-07,payment,debit_card,5588.22,successful
PAY-0000139,ORD-000139,2025-11-16,payment,credit_card,11630.3,successful
PAY-0000140,ORD-000140,2025-12-27,payment,debit_card,11345.18,successful
PAY-0000141,ORD-000141,2025-01-06,payment,upi,14147.74,successful
PAY-0000142,ORD-000142,2026-06-06,payment,net_banking,15664.59,successful
PAY-0000143,ORD-000143,2026-05-28,payment,wallet,17851.42,successful
PAY-0000144,ORD-000144,2025-06-09,payment,net_banking,8649.87,successful
PAY-0000145,ORD-000145,2026-03-03,payment,debit_card,15794.59,successful
PAY-0000146,ORD-000146,2025-11-15,payment,upi,34698.89,successful
PAY-0000147,ORD-000147,2026-07-10,payment,debit_card,6187.9,successful
PAY-0000148,ORD-000148,2026-06-01,payment,upi,22384.36,failed
PAY-0000149,ORD-000149,2026-05-14,payment,credit_card,1284.18,successful
PAY-0000150,ORD-000150,2025-01-10,payment,upi,3349.55,successful
PAY-0000151,ORD-000151,2026-05-26,payment,net_banking,4115.8,successful
PAY-0000152,ORD-000152,2026-05-16,payment,credit_card,21881.16,successful
PAY-0000153,ORD-000153,2025-05-14,payment,debit_card,14409.04,successful
PAY-0000154,ORD-000154,2026-01-31,payment,credit_card,21755.33,successful
PAY-0000155,ORD-000155,2026-05-14,payment,debit_card,1370.36,successful
PAY-0000156,ORD-000156,2026-07-24,payment,net_banking,9579.11,pending
PAY-0000157,ORD-000157,2026-07-02,payment,debit_card,5818.8,successful
PAY-0000158,ORD-000158,2026-05-26,payment,wallet,24733.59,successful
PAY-0000159,ORD-000159,2026-07-20,payment,net_banking,27869.48,successful
PAY-0000160,ORD-000160,2026-07-29,payment,upi,13191.29,pending
PAY-0000161,ORD-000161,2026-07-19,payment,upi,18246.06,successful
PAY-0000162,ORD-000162,2026-01-26,payment,net_banking,16704.03,failed
PAY-0000163,ORD-000163,2026-06-11,payment,upi,2110.15,successful
PAY-0000164,ORD-000164,2026-06-24,payment,net_banking,25505.48,successful
PAY-0000165,ORD-000165,2026-07-31,payment,upi,3138.29,successful
PAY-0000166,ORD-000166,2025-08-22,payment,debit_card,7275.55,successful
PAY-0000167,ORD-000167,2026-03-11,payment,credit_card,16383.49,successful
PAY-0000168,ORD-000168,2025-12-27,payment,credit_card,11249.86,successful
PAY-0000169,ORD-000169,2025-05-19,payment,upi,11908.65,successful
PAY-0000170,ORD-000170,2026-04-15,payment,upi,49934.04,successful
PAY-0000171,ORD-000171,2026-03-19,payment,credit_card,2424.76,successful
PAY-0000172,ORD-000172,2026-02-25,payment,upi,13031.68,successful
PAY-0000173,ORD-000173,2025-09-16,payment,upi,5783.96,successful
PAY-0000174,ORD-000174,2025-07-25,payment,upi,27181.17,successful
PAY-0000175,ORD-000175,2025-09-12,payment,wallet,18030.9,successful
PAY-0000176,ORD-000176,2025-03-17,payment,upi,4852.9,successful
PAY-0000177,ORD-000177,2026-04-11,payment,wallet,9860.25,successful
PAY-0000178,ORD-000178,2026-07-26,payment,credit_card,25682.59,successful
PAY-0000179,ORD-000179,2025-06-17,payment,debit_card,13869.06,successful
PAY-0000180,ORD-000180,2026-07-02,payment,net_banking,3913.45,failed
PAY-0000181,ORD-000181,2025-11-15,payment,credit_card,1581.93,successful
PAY-0000182,ORD-000182,2026-05-11,payment,wallet,31015.14,successful
PAY-0000183,ORD-000183,2025-10-30,payment,upi,5203.89,successful
PAY-0000184,ORD-000184,2026-03-24,payment,wallet,6225.3,failed
PAY-0000185,ORD-000185,2026-06-17,payment,credit_card,6015.2,successful
PAY-0000186,ORD-000186,2026-06-25,payment,upi,9767.25,successful
PAY-0000187,ORD-000187,2025-10-18,payment,credit_card,6507.62,successful
PAY-0000188,ORD-000188,2026-05-16,payment,credit_card,37029.98,successful
PAY-0000189,ORD-000189,2025-10-30,payment,net_banking,20166.33,pending
PAY-0000190,ORD-000190,2026-01-19,payment,debit_card,4696.87,successful
PAY-0000191,ORD-000191,2025-09-23,payment,wallet,24253.12,successful
PAY-0000192,ORD-000192,2026-02-15,payment,credit_card,3670.47,successful
PAY-0000193,ORD-000193,2025-03-22,payment,credit_card,8313.37,successful
PAY-0000194,ORD-000194,2025-02-03,payment,upi,23294.59,successful
PAY-0000195,ORD-000195,2026-05-16,payment,debit_card,8048.1,successful
PAY-0000196,ORD-000196,2026-06-24,payment,debit_card,41582.27,successful
PAY-0000197,ORD-000197,2025-11-03,payment,credit_card,44364.4,failed
PAY-0000198,ORD-000198,2026-03-28,payment,debit_card,45547.89,successful
PAY-0000199,ORD-000199,2025-08-25,payment,wallet,33000.15,successful
PAY-0000200,ORD-000200,2025-08-09,payment,net_banking,23122.27,successful
PAY-0000201,ORD-000201,2026-07-22,payment,net_banking,882.4,successful
PAY-0000202,ORD-000202,2025-05-07,payment,debit_card,12149.62,successful
PAY-0000203,ORD-000203,2026-06-24,payment,net_banking,21316.96,successful
PAY-0000204,ORD-000204,2025-12-13,payment,debit_card,11019.19,successful
PAY-0000205,ORD-000205,2026-06-29,payment,credit_card,14808.49,successful
PAY-0000206,ORD-000206,2025-08-26,payment,wallet,44036.94,successful
PAY-0000207,ORD-000207,2025-01-04,payment,wallet,34939.27,failed
PAY-0000208,ORD-000208,2026-04-06,payment,credit_card,14314.9,successful
PAY-0000209,ORD-000209,2026-01-27,payment,credit_card,23749.28,successful
PAY-0000210,ORD-000210,2026-03-27,payment,credit_card,12658.97,successful
PAY-0000211,ORD-000211,2025-10-17,payment,net_banking,46246.91,successful
PAY-0000212,ORD-000212,2026-03-06,payment,credit_card,8440.76,failed
PAY-0000213,ORD-000213,2025-08-30,payment,credit_card,962.45,failed
PAY-0000214,ORD-000214,2026-07-28,payment,wallet,6643.61,successful
PAY-0000215,ORD-000215,2025-10-23,payment,credit_card,12100.43,successful
PAY-0000216,ORD-000216,2025-07-16,payment,credit_card,3727.1,successful
PAY-0000217,ORD-000217,2025-07-14,payment,credit_card,46443.91,successful
PAY-0000218,ORD-000218,2026-07-17,payment,debit_card,11222.15,successful
PAY-0000219,ORD-000219,2026-01-19,payment,credit_card,4945.73,failed
PAY-0000220,ORD-000220,2026-06-08,payment,net_banking,6100.89,successful
PAY-0000221,ORD-000221,2026-03-09,payment,credit_card,16695.19,successful
PAY-0000222,ORD-000222,2026-05-04,payment,debit_card,23778.91,failed
PAY-0000223,ORD-000223,2026-06-17,payment,wallet,19946.21,successful
PAY-0000224,ORD-000224,2025-10-13,payment,debit_card,28807.25,successful
PAY-0000225,ORD-000225,2026-07-30,payment,wallet,44623.53,successful
PAY-0000226,ORD-000226,2025-08-31,payment,debit_card,509.85,successful
PAY-0000227,ORD-000227,2026-07-30,payment,credit_card,6287.11,successful
PAY-0000228,ORD-000228,2025-02-07,payment,wallet,14230.51,successful
PAY-0000229,ORD-000229,2026-01-14,payment,debit_card,21588.38,successful
PAY-0000230,ORD-000230,2026-03-17,payment,wallet,35650.94,successful
PAY-0000231,ORD-000231,2026-07-30,payment,upi,50916.03,failed
PAY-0000232,ORD-000232,2026-07-14,payment,debit_card,13995.67,successful
PAY-0000233,ORD-000233,2026-02-06,payment,debit_card,37870.47,successful
PAY-0000234,ORD-000234,2026-03-10,payment,net_banking,19421.21,failed
PAY-0000235,ORD-000235,2025-10-31,payment,credit_card,19550.64,successful
PAY-0000236,ORD-000236,2026-07-01,payment,wallet,2392.49,successful
PAY-0000237,ORD-000237,2025-09-03,payment,wallet,26120.74,successful
PAY-0000238,ORD-000238,2025-11-07,payment,credit_card,9947.85,successful
PAY-0000239,ORD-000239,2026-06-02,payment,debit_card,39227.33,successful
PAY-0000240,ORD-000240,2026-04-11,payment,upi,4426.04,successful
PAY-0000241,ORD-000241,2026-03-23,payment,credit_card,5084.24,successful
PAY-0000242,ORD-000242,2026-03-07,payment,debit_card,17974.72,successful
PAY-0000243,ORD-000243,2025-09-23,payment,net_banking,3624.59,successful
PAY-0000244,ORD-000244,2025-11-11,payment,wallet,45751.88,successful
PAY-0000245,ORD-000245,2025-04-12,payment,upi,49995.21,successful
PAY-0000246,ORD-000246,2025-08-11,payment,credit_card,20642.91,failed
PAY-0000247,ORD-000247,2026-05-08,payment,debit_card,9264.03,successful
PAY-0000248,ORD-000248,2026-07-05,payment,upi,27050.41,successful
PAY-0000249,ORD-000249,2026-05-21,payment,wallet,10339.95,successful
PAY-0000250,ORD-000250,2026-07-01,payment,credit_card,26450.42,successful
PAY-0000251,ORD-000251,2026-07-31,payment,debit_card,7426.39,failed
PAY-0000252,ORD-000252,2025-04-25,payment,credit_card,8588.16,successful
PAY-0000253,ORD-000253,2026-07-17,payment,upi,3192.99,failed
PAY-0000254,ORD-000254,2026-07-17,payment,wallet,26057.03,pending
PAY-0000255,ORD-000255,2026-05-21,payment,upi,15527.24,successful
PAY-0000256,ORD-000256,2026-04-03,payment,debit_card,4393.02,successful
PAY-0000257,ORD-000257,2025-07-20,payment,debit_card,10002.2,successful
PAY-0000258,ORD-000258,2025-11-21,payment,credit_card,18858.36,successful
PAY-0000259,ORD-000259,2026-04-11,payment,wallet,17799.05,successful
PAY-0000260,ORD-000260,2025-03-13,payment,credit_card,11239.23,successful
PAY-0000261,ORD-000261,2026-04-27,payment,credit_card,21801.28,successful
PAY-0000262,ORD-000262,2026-01-13,payment,upi,8596.93,successful
PAY-0000263,ORD-000263,2026-03-02,payment,upi,31557.77,successful
PAY-0000264,ORD-000264,2026-06-19,payment,credit_card,416.33,successful
PAY-0000265,ORD-000265,2026-01-01,payment,debit_card,17328.44,successful
PAY-0000266,ORD-000266,2026-06-06,payment,debit_card,25389.89,successful
PAY-0000267,ORD-000267,2026-07-03,payment,net_banking,3006.99,successful
PAY-0000268,ORD-000268,2025-10-24,payment,upi,7483.29,successful
PAY-0000269,ORD-000269,2025-04-15,payment,net_banking,11360.28,successful
PAY-0000270,ORD-000270,2025-03-09,payment,credit_card,2709.57,failed
PAY-0000271,ORD-000271,2025-12-09,payment,net_banking,17600.86,successful
PAY-0000272,ORD-000272,2026-06-22,payment,wallet,16762.14,successful
PAY-0000273,ORD-000273,2026-05-05,payment,upi,7808.47,successful
PAY-0000274,ORD-000274,2025-07-18,payment,upi,48372.37,successful
PAY-0000275,ORD-000275,2025-08-05,payment,credit_card,2282.22,successful
PAY-0000276,ORD-000276,2025-05-01,payment,debit_card,7288.32,successful
PAY-0000277,ORD-000277,2025-07-07,payment,net_banking,34668.94,successful
PAY-0000278,ORD-000278,2025-06-22,payment,upi,24140.07,successful
PAY-0000279,ORD-000279,2026-03-25,payment,upi,22315.27,successful
PAY-0000280,ORD-000280,2026-04-22,payment,upi,12002.83,successful
PAY-0000281,ORD-000281,2025-11-27,payment,upi,32339.08,successful
PAY-0000282,ORD-000282,2026-02-28,payment,wallet,1928.24,successful
PAY-0000283,ORD-000283,2026-07-26,payment,net_banking,24822.77,successful
PAY-0000284,ORD-000284,2025-01-28,payment,credit_card,27725.02,pending
PAY-0000285,ORD-000285,2026-05-08,payment,debit_card,13963.11,successful
PAY-0000286,ORD-000286,2025-08-23,payment,credit_card,23711.53,successful
PAY-0000287,ORD-000287,2026-06-01,payment,wallet,19905.08,successful
PAY-0000288,ORD-000288,2026-03-10,payment,wallet,32453.75,successful
PAY-0000289,ORD-000289,2026-05-20,payment,credit_card,4897.09,successful
PAY-0000290,ORD-000290,2025-08-22,payment,upi,7975.51,successful
PAY-0000291,ORD-000291,2026-04-20,payment,credit_card,34067.25,successful
PAY-0000292,ORD-000292,2025-02-21,payment,net_banking,3222.12,successful
PAY-0000293,ORD-000293,2026-07-03,payment,net_banking,2668.65,successful
PAY-0000294,ORD-000294,2026-07-26,payment,wallet,2922.91,pending
PAY-0000295,ORD-000295,2025-04-02,payment,upi,3325.31,successful
PAY-0000296,ORD-000296,2026-04-29,payment,wallet,7489.4,successful
PAY-0000297,ORD-000297,2026-03-14,payment,upi,20268.2,successful
PAY-0000298,ORD-000298,2026-03-02,payment,upi,24433.78,successful
PAY-0000299,ORD-000299,2025-10-13,payment,wallet,26911.79,successful
PAY-0000300,ORD-000300,2025-05-24,payment,credit_card,6875.68,successful
PAY-0000301,ORD-000301,2025-07-01,payment,net_banking,3343.86,successful
PAY-0000302,ORD-000302,2026-06-11,payment,wallet,10907.29,successful
PAY-0000303,ORD-000303,2026-03-21,payment,upi,20214.43,successful
PAY-0000304,ORD-000304,2026-04-22,payment,upi,19498.15,successful
PAY-0000305,ORD-000305,2025-12-02,payment,debit_card,23828.59,successful
PAY-0000306,ORD-000306,2026-02-16,payment,upi,12537.06,successful
PAY-0000307,ORD-000307,2025-05-13,payment,upi,12640.77,successful
PAY-0000308,ORD-000308,2026-01-15,payment,upi,18361.61,successful
PAY-0000309,ORD-000309,2026-03-12,payment,credit_card,3555.48,pending
PAY-0000310,ORD-000310,2026-07-05,payment,net_banking,26106.93,failed
PAY-0000311,ORD-000311,2026-01-10,payment,debit_card,20722.76,successful
PAY-0000312,ORD-000312,2026-05-25,payment,net_banking,2572.14,successful
PAY-0000313,ORD-000313,2025-11-28,payment,debit_card,24216.9,successful
PAY-0000314,ORD-000314,2025-08-28,payment,upi,13178.22,successful
PAY-0000315,ORD-000315,2026-06-18,payment,wallet,11095.76,successful
PAY-0000316,ORD-000316,2025-09-12,payment,debit_card,8498.69,successful
PAY-0000317,ORD-000317,2025-10-04,payment,wallet,20098.17,successful
PAY-0000318,ORD-000318,2026-07-02,payment,upi,7116.64,successful
PAY-0000319,ORD-000319,2026-02-10,payment,wallet,15508.01,successful
PAY-0000320,ORD-000320,2026-03-05,payment,wallet,28317.2,successful
PAY-0000321,ORD-000321,2025-02-03,payment,wallet,31201.95,pending
PAY-0000322,ORD-000322,2025-04-16,payment,credit_card,3031.61,successful
PAY-0000323,ORD-000323,2026-02-23,payment,net_banking,20447.65,successful
PAY-0000324,ORD-000324,2026-05-20,payment,upi,7653.34,pending
PAY-0000325,ORD-000325,2025-10-22,payment,credit_card,7479.17,successful
PAY-0000326,ORD-000326,2026-04-23,payment,credit_card,13620.55,successful
PAY-0000327,ORD-000327,2025-03-18,payment,upi,26635.63,successful
PAY-0000328,ORD-000328,2025-03-30,payment,debit_card,7848.95,failed
PAY-0000329,ORD-000329,2026-04-17,payment,credit_card,3612.26,successful
PAY-0000330,ORD-000330,2025-09-29,payment,debit_card,19861.1,successful
PAY-0000331,ORD-000331,2026-04-06,payment,credit_card,1174.76,successful
PAY-0000332,ORD-000332,2026-01-14,payment,credit_card,7606.68,successful
PAY-0000333,ORD-000333,2026-07-17,payment,wallet,39775.82,successful
PAY-0000334,ORD-000334,2025-05-09,payment,upi,29572.1,successful
PAY-0000335,ORD-000335,2026-06-29,payment,net_banking,62594.73,failed
PAY-0000336,ORD-000336,2025-06-24,payment,credit_card,5816.64,successful
PAY-0000337,ORD-000337,2025-10-21,payment,debit_card,6490.04,failed
PAY-0000338,ORD-000338,2025-09-27,payment,debit_card,4621.13,successful
PAY-0000339,ORD-000339,2026-02-20,payment,credit_card,25019.19,successful
PAY-0000340,ORD-000340,2025-05-12,payment,wallet,19860.83,successful
PAY-0000341,ORD-000341,2026-07-06,payment,debit_card,11907.63,successful
PAY-0000342,ORD-000342,2026-07-29,payment,net_banking,6544.29,successful
PAY-0000343,ORD-000343,2026-06-27,payment,debit_card,26995.95,successful
PAY-0000344,ORD-000344,2025-04-05,payment,credit_card,36334.6,successful
PAY-0000345,ORD-000345,2025-06-16,payment,upi,43405.14,successful
PAY-0000346,ORD-000346,2026-06-30,payment,debit_card,13055.91,successful
PAY-0000347,ORD-000347,2026-05-24,payment,credit_card,3016.0,successful
PAY-0000348,ORD-000348,2025-09-29,payment,wallet,6035.91,successful
PAY-0000349,ORD-000349,2026-06-26,payment,debit_card,5742.71,successful
PAY-0000350,ORD-000350,2025-03-16,payment,credit_card,7369.86,successful
PAY-0000351,ORD-000351,2025-01-25,payment,debit_card,6966.44,successful
PAY-0000352,ORD-000352,2025-03-10,payment,upi,2500.56,successful
PAY-0000353,ORD-000353,2025-02-02,payment,wallet,13722.3,successful
PAY-0000354,ORD-000354,2025-10-16,payment,debit_card,14961.26,successful
PAY-0000355,ORD-000355,2026-07-20,payment,credit_card,19781.9,successful
PAY-0000356,ORD-000356,2025-07-23,payment,debit_card,24258.16,successful
PAY-0000357,ORD-000357,2026-05-29,payment,credit_card,4641.58,pending
PAY-0000358,ORD-000358,2025-12-18,payment,net_banking,9415.5,successful
PAY-0000359,ORD-000359,2026-07-25,payment,credit_card,10459.53,successful
PAY-0000360,ORD-000360,2026-07-11,payment,debit_card,2303.41,successful
PAY-0000361,ORD-000361,2026-01-10,payment,debit_card,2432.75,successful
PAY-0000362,ORD-000362,2025-09-25,payment,upi,30673.45,successful
PAY-0000363,ORD-000363,2025-04-03,payment,credit_card,1757.92,successful
PAY-0000364,ORD-000364,2026-07-29,payment,wallet,12413.77,successful
PAY-0000365,ORD-000365,2025-01-01,payment,net_banking,2557.79,successful
PAY-0000366,ORD-000366,2025-04-05,payment,credit_card,4246.67,failed
PAY-0000367,ORD-000367,2026-01-27,payment,debit_card,23761.06,successful
PAY-0000368,ORD-000368,2025-06-17,payment,upi,13432.38,successful
PAY-0000369,ORD-000369,2025-07-22,payment,debit_card,31004.71,successful
PAY-0000370,ORD-000370,2026-01-15,payment,net_banking,63661.61,successful
PAY-0000371,ORD-000371,2025-01-16,payment,upi,3722.84,successful
PAY-0000372,ORD-000372,2026-04-04,payment,net_banking,20686.0,successful
