session_id,customer_id,session_start,traffic_source,device_type,started_checkout,completed_purchase,order_id
SES-0000079,CUST-01405,2025-02-24 20:25:00,social,mobile,False,False,
SES-0000080,CUST-01860,2026-07-09 07:21:00,direct,mobile,False,False,
SES-0000081,CUST-01939,2025-09-25 05:38:00,paid_search,desktop,True,False,
SES-0000082,CUST-01377,2025-01-13 02:42:00,social,mobile,True,False,
SES-0000083,CUST-01936,2025-12-26 01:56:00,affiliate,mobile,False,False,
SES-0000084,CUST-01997,2025-09-15 16:34:00,direct,mobile,False,False,
SES-0000085,CUST-00915,2025-10-05 04:01:00,direct,desktop,False,False,
SES-0000086,CUST-00920,2025-05-30 12:33:00,organic_search,mobile,False,False,
SES-0000087,CUST-00362,2025-08-04 15:15:00,social,mobile,False,False,
SES-0000088,,2026-04-19 06:49:00,paid_search,mobile,False,False,
SES-0000089,CUST-01432,2025-11-23 11:15:00,social,desktop,False,False,
SES-0000090,,2026-06-21 18:16:00,paid_search,mobile,False,False,
SES-0000091,CUST-01018,2025-05-20 16:58:00,organic_search,mobile,False,False,
SES-0000092,,2025-11-21 23:10:00,affiliate,mobile,False,False,
SES-0000093,,2025-04-09 16:51:00,email,mobile,False,False,
SES-0000094,CUST-00764,2025-02-18 08:42:00,social,mobile,False,False,
SES-0000095,CUST-00990,2025-09-04 09:08:00,organic_search,mobile,False,False,
SES-0000096,CUST-01299,2026-04-03 02:26:00,affiliate,mobile,False,False,
SES-0000097,CUST-01261,2025-12-30 17:17:00,social,desktop,False,False,
SES-0000098,CUST-00326,2025-07-03 14:55:00,direct,mobile,False,False,
SES-0000099,,2025-01-17 06:19:00,direct,mobile,False,False,
SES-0000100,,2026-03-30 15:26:00,social,desktop,True,False,
SES-0000101,CUST-00362,2025-12-14 04:15:00,organic_search,desktop,False,False,
SES-0000102,CUST-01150,2025-02-07 14:18:00,social,desktop,False,False,
SES-0000103,CUST-01206,2026-02-24 18:28:00,social,mobile,False,False,
SES-0000104,CUST-00587,2025-07-11 10:46:00,email,mobile,False,False,
SES-0000105,CUST-01355,2025-01-02 15:11:00,paid_search,mobile,False,False,
SES-0000106,,2026-06-07 17:16:00,paid_search,desktop,False,False,
SES-0000107,CUST-01534,2025-03-12 06:20:00,paid_search,desktop,True,True,ORD-000467
SES-0000108,,2025-03-23 07:40:00,organic_search,mobile,True,False,
SES-0000109,CUST-00954,2026-04-30 09:10:00,paid_search,desktop,False,False,
SES-0000110,,2026-06-07 08:32:00,paid_search,mobile,True,False,
SES-0000111,,2025-05-10 21:42:00,paid_search,desktop,False,False,
SES-0000112,CUST-01919,2026-05-24 22:44:00,paid_search,mobile,False,False,
SES-0000113,CUST-01035,2025-08-27 04:00:00,direct,mobile,False,False,
SES-0000114,,2025-05-04 17:53:00,organic_search,desktop,False,False,
SES-0000115,CUST-00153,2026-05-22 02:31:00,social,desktop,False,False,
SES-0000116,CUST-00559,2025-07-22 00:15:00,paid_search,mobile,False,False,
SES-0000117,CUST-00440,2025-07-18 03:34:00,email,mobile,False,False,
SES-0000118,CUST-01270,2025-05-17 08:44:00,email,mobile,True,True,ORD-005335
SES-0000119,CUST-01051,2025-11-15 13:19:00,social,mobile,False,False,
SES-0000120,CUST-00730,2026-06-08 19:47:00,direct,mobile,True,True,ORD-004427
SES-0000121,CUST-00493,2026-04-09 03:20:00,social,mobile,False,False,
SES-0000122,CUST-00303,2026-06-24 21:46:00,social,mobile,True,True,ORD-005579
SES-0000123,,2025-11-27 08:25:00,social,mobile,False,False,
SES-0000124,CUST-01263,2025-01-10 04:25:00,affiliate,mobile,False,False,
SES-0000125,CUST-01124,2026-01-29 12:12:00,email,desktop,False,False,
SES-0000126,CUST-01354,2026-04-20 19:11:00,organic_search,desktop,False,False,
SES-0000127,CUST-00614,2025-02-16 18:14:00,paid_search,mobile,True,True,ORD-006232
SES-0000128,CUST-00785,2026-04-20 07:54:00,paid_search,mobile,False,False,
SES-0000129,,2025-05-20 17:09:00,organic_search,desktop,False,False,
SES-0000130,CUST-01504,2025-07-16 10:35:00,paid_search,mobile,True,False,
SES-0000131,CUST-01422,2025-11-12 04:22:00,organic_search,desktop,True,True,ORD-003445
SES-0000132,,2026-06-13 10:10:00,paid_search,mobile,False,False,
SES-0000133,,2026-04-25 22:35:00,direct,tablet,False,False,
SES-0000134,,2025-11-18 11:41:00,organic_search,mobile,False,False,
SES-0000135,,2025-05-28 02:12:00,direct,mobile,False,False,
SES-0000136,CUST-00264,2025-09-11 04:34:00,organic_search,mobile,False,False,
SES-0000137,CUST-00257,2025-08-04 07:24:00,direct,mobile,False,False,
SES-0000138,,2025-04-09 00:45:00,organic_search,tablet,False,False,
SES-0000139,CUST-00822,2025-08-17 10:59:00,social,mobile,False,False,
SES-0000140,,2025-03-01 05:50:00,social,mobile,False,False,
SES-0000141,,2025-12-17 03:19:00,paid_search,mobile,False,False,
SES-0000142,CUST-01368,2026-07-31 16:31:00,paid_search,mobile,True,True,ORD-003172
SES-0000143,CUST-00487,2025-02-24 07:33:00,social,mobile,False,False,
SES-0000144,CUST-01252,2025-06-21 10:07:00,paid_search,mobile,True,True,ORD-002920
SES-0000145,CUST-01039,2026-07-05 05:17:00,organic_search,desktop,False,False,
SES-0000146,CUST-01482,2025-11-21 04:41:00,email,mobile,False,False,
SES-0000147,CUST-01115,2025-10-24 11:10:00,organic_search,mobile,False,False,
SES-0000148,CUST-01869,2025-05-04 19:22:00,affiliate,mobile,True,True,ORD-007832
SES-0000149,,2025-02-09 11:00:00,paid_search,mobile,False,False,
SES-0000150,,2025-01-13 07:21:00,social,mobile,True,False,
SES-0000151,,2025-01-29 04:08:00,direct,desktop,False,False,
SES-0000152,CUST-00774,2025-05-19 12:04:00,direct,mobile,False,False,
SES-0000153,,2025-05-02 05:57:00,organic_search,mobile,False,False,
SES-0000154,,2026-03-28 02:48:00,organic_search,desktop,False,False,
SES-0000155,,2025-07-03 15:14:00,affiliate,tablet,False,False,
SES-0000156,CUST-00721,2025-11-05 06:07:00,social,mobile,False,False,
SES-0000157,CUST-01377,2026-05-20 19:40:00,paid_search,desktop,False,False,
SES-0000158,CUST-00846,2026-06-06 07:37:00,organic_search,tablet,False,False,
SES-0000159,CUST-00279,2026-06-16 10:04:00,social,mobile,False,False,
SES-0000160,CUST-00740,2025-12-18 13:07:00,social,mobile,True,True,ORD-000131
SES-0000161,,2025-02-25 04:56:00,direct,desktop,False,False,
SES-0000162,CUST-00885,2026-04-15 07:05:00,paid_search,desktop,False,False,
SES-0000163,CUST-01308,2025-05-18 04:42:00,direct,tablet,False,False,
SES-0000164,CUST-01286,2026-03-02 11:02:00,email,mobile,True,False,
SES-0000165,CUST-00277,2026-04-17 11:22:00,organic_search,desktop,False,False,
SES-0000166,,2025-02-14 09:39:00,email,mobile,False,False,
SES-0000167,CUST-00511,2025-11-08 06:28:00,social,desktop,False,False,
SES-0000168,CUST-00551,2025-08-25 19:58:00,organic_search,mobile,False,False,
SES-0000169,CUST-01299,2026-07-07 18:05:00,social,mobile,True,False,
SES-0000170,CUST-00370,2025-10-18 22:24:00,email,mobile,True,True,ORD-001686
SES-0000171,CUST-00827,2025-12-27 11:36:00,email,desktop,False,False,
SES-0000172,,2025-12-26 23:49:00,organic_search,tablet,True,False,
SES-0000173,CUST-00216,2026-04-29 06:27:00,organic_search,mobile,False,False,
SES-0000174,CUST-00337,2026-04-11 13:47:00,direct,mobile,False,False,
SES-0000175,CUST-00826,2025-12-13 12:51:00,email,mobile,True,True,ORD-007477
SES-0000176,,2025-10-12 15:23:00,direct,mobile,False,False,
SES-0000177,CUST-00793,2025-03-23 04:11:00,direct,mobile,False,False,
SES-0000178,,2025-12-11 01:19:00,social,mobile,False,False,
SES-0000179,CUST-00957,2025-07-28 23:46:00,social,desktop,True,True,ORD-000770
SES-0000180,CUST-00784,2026-05-12 00:47:00,paid_search,desktop,False,False,
SES-0000181,,2025-01-27 10:27:00,paid_search,tablet,False,False,
SES-0000182,,2025-03-01 12:59:00,organic_search,mobile,False,False,
SES-0000183,CUST-00918,2026-03-28 09:28:00,social,mobile,False,False,
SES-0000184,CUST-00414,2025-05-04 21:44:00,social,desktop,False,False,
SES-0000185,CUST-00459,2025-12-08 13:29:00,organic_search,mobile,True,False,
SES-0000186,CUST-01842,2025-12-08 04:54:00,email,mobile,True,True,ORD-002392
SES-0000187,CUST-01840,2025-07-18 17:58:00,paid_search,mobile,False,False,
SES-0000188,CUST-01851,2025-09-09 08:30:00,direct,mobile,False,False,
SES-0000189,CUST-01893,2025-06-04 04:01:00,direct,mobile,False,False,
SES-0000190,CUST-01056,2026-04-07 15:44:00,social,desktop,False,False,
SES-0000191,CUST-01348,2025-10-17 10:42:00,paid_search,mobile,True,True,ORD-005612
SES-0000192,CUST-00510,2025-09-22 17:59:00,paid_search,desktop,False,False,
SES-0000193,CUST-01285,2026-06-04 12:20:00,direct,mobile,False,False,
SES-0000194,CUST-00418,2026-07-26 08:33:00,organic_search,mobile,False,False,
SES-0000195,CUST-01308,2025-05-25 16:20:00,direct,desktop,True,True,ORD-007582
SES-0000196,,2025-09-14 06:17:00,social,mobile,False,False,
SES-0000197,,2025-01-26 06:34:00,organic_search,mobile,False,False,
SES-0000198,CUST-01372,2025-02-25 00:43:00,affiliate,desktop,False,False,
SES-0000199,CUST-00865,2025-04-14 03:53:00,direct,mobile,False,False,
SES-0000200,CUST-00887,2025-09-29 00:33:00,direct,mobile,False,False,
SES-0000201,CUST-01795,2025-10-14 14:31:00,organic_search,mobile,False,False,
SES-0000202,CUST-01194,2026-04-01 09:09:00,direct,desktop,True,True,ORD-006950
SES-0000203,CUST-00680,2025-10-20 15:28:00,organic_search,mobile,False,False,
SES-0000204,CUST-01569,2025-01-31 05:54:00,direct,mobile,False,False,
SES-0000205,CUST-00588,2025-04-12 01:09:00,direct,mobile,False,False,
SES-0000206,,2025-08-18 13:27:00,social,desktop,False,False,
SES-0000207,,2025-12-24 18:03:00,social,desktop,False,False,
SES-0000208,,2025-09-08 04:04:00,paid_search,desktop,False,False,
SES-0000209,CUST-01388,2025-11-16 01:44:00,organic_search,mobile,True,True,ORD-002434
SES-0000210,CUST-01392,2026-07-04 06:32:00,paid_search,mobile,False,False,
SES-0000211,CUST-00795,2025-11-10 04:44:00,direct,mobile,False,False,
SES-0000212,CUST-00568,2025-02-23 11:26:00,organic_search,desktop,False,False,
SES-0000213,CUST-01978,2026-03-26 23:36:00,paid_search,desktop,False,False,
SES-0000214,CUST-00333,2025-03-29 20:48:00,affiliate,mobile,False,False,
SES-0000215,CUST-01199,2026-06-29 10:15:00,organic_search,desktop,True,True,ORD-005312
SES-0000216,CUST-01584,2025-10-08 23:28:00,direct,desktop,True,True,ORD-005052
SES-0000217,,2025-01-03 10:02:00,affiliate,desktop,False,False,
SES-0000218,,2026-06-02 21:03:00,organic_search,mobile,False,False,
SES-0000219,,2026-04-19 09:30:00,paid_search,mobile,False,False,
SES-0000220,CUST-01222,2025-09-12 01:30:00,organic_search,desktop,False,False,
SES-0000221,CUST-00167,2025-01-23 03:36:00,paid_search,desktop,False,False,
SES-0000222,CUST-01452,2026-04-23 08:10:00,paid_search,mobile,False,False,
SES-0000223,,2025-08-14 18:25:00,paid_search,tablet,True,False,
SES-0000224,,2025-05-28 07:25:00,paid_search,mobile,False,False,
SES-0000225,CUST-01630,2026-02-15 10:08:00,organic_search,tablet,False,False,
SES-0000226,CUST-01793,2025-04-12 00:48:00,direct,desktop,False,False,
SES-0000227,CUST-01430,2026-04-30 02:27:00,paid_search,mobile,True,True,ORD-006421
SES-0000228,CUST-00209,2026-05-11 09:09:00,organic_search,desktop,True,True,ORD-001185
SES-0000229,,2025-12-12 15:31:00,paid_search,mobile,True,False,
SES-0000230,,2025-08-26 08:09:00,social,desktop,False,False,
SES-0000231,,2025-04-05 17:41:00,paid_search,mobile,False,False,
SES-0000232,,2026-04-08 07:38:00,email,mobile,False,False,
SES-0000233,CUST-01978,2025-02-05 00:34:00,paid_search,desktop,False,False,
SES-0000234,CUST-01889,2026-05-12 18:26:00,direct,mobile,False,False,
SES-0000235,CUST-01277,2026-04-05 18:53:00,paid_search,desktop,False,False,
SES-0000236,CUST-00287,2025-07-29 10:00:00,email,desktop,False,False,
SES-0000237,,2025-04-06 05:05:00,email,mobile,False,False,
SES-0000238,CUST-01130,2025-01-11 19:26:00,organic_search,desktop,False,False,
SES-0000239,,2025-10-02 10:38:00,email,mobile,True,False,
SES-0000240,,2026-04-05 00:56:00,paid_search,mobile,True,False,
SES-0000241,CUST-00254,2025-05-05 12:19:00,direct,mobile,True,True,ORD-004556
SES-0000242,CUST-00611,2025-07-23 13:28:00,paid_search,mobile,False,False,
SES-0000243,CUST-00139,2026-05-24 05:14:00,social,desktop,True,True,ORD-003386
SES-0000244,CUST-01139,2026-03-06 14:06:00,social,desktop,False,False,
SES-0000245,,2026-04-14 13:05:00,social,tablet,False,False,
SES-0000246,CUST-01872,2025-11-07 22:41:00,paid_search,mobile,True,True,ORD-004118
SES-0000247,CUST-01131,2026-03-24 17:14:00,social,mobile,True,True,ORD-006397
SES-0000248,CUST-01548,2026-02-10 19:28:00,affiliate,mobile,False,False,
SES-0000249,CUST-00212,2025-12-01 20:45:00,direct,mobile,True,True,ORD-004844
SES-0000250,,2025-10-22 23:46:00,paid_search,mobile,False,False,
SES-0000251,CUST-01918,2025-01-03 14:53:00,organic_search,desktop,False,False,
SES-0000252,,2025-08-30 17:11:00,email,desktop,False,False,
SES-0000253,,2026-05-10 00:42:00,affiliate,mobile,False,False,
SES-0000254,CUST-01738,2025-10-12 21:57:00,affiliate,desktop,True,False,
SES-0000255,CUST-00594,2026-03-24 11:43:00,affiliate,desktop,False,False,
SES-0000256,,2026-03-08 19:00:00,paid_search,mobile,False,False,
SES-0000257,CUST-01571,2025-06-10 04:19:00,organic_search,mobile,False,False,
SES-0000258,,2025-07-10 00:52:00,organic_search,mobile,False,False,
SES-0000259,CUST-01642,2025-02-01 07:20:00,direct,mobile,False,False,
SES-0000260,,2026-05-17 01:03:00,social,mobile,False,False,
SES-0000261,CUST-00936,2025-09-12 01:45:00,social,tablet,False,False,
SES-0000262,,2025-08-06 13:18:00,social,mobile,False,False,
SES-0000263,CUST-01351,2025-02-05 11:13:00,social,mobile,False,False,
SES-0000264,CUST-00648,2026-04-09 22:20:00,social,desktop,True,True,ORD-002905
SES-0000265,,2025-05-26 22:13:00,email,desktop,False,False,
SES-0000266,,2025-05-05 01:51:00,email,mobile,False,False,
SES-0000267,CUST-00711,2025-09-29 17:54:00,paid_search,mobile,False,False,
SES-0000268,,2025-02-02 17:40:00,email,mobile,True,False,
SES-0000269,CUST-00814,2025-12-27 07:39:00,email,mobile,False,False,
SES-0000270,CUST-00962,2025-01-29 12:05:00,social,mobile,False,False,
SES-0000271,,2026-07-20 19:44:00,social,mobile,False,False,
SES-0000272,,2025-09-05 11:01:00,affiliate,mobile,False,False,
SES-0000273,CUST-00255,2025-07-23 17:20:00,paid_search,desktop,True,True,ORD-007729
SES-0000274,CUST-00825,2026-07-27 22:07:00,social,desktop,False,False,
SES-0000275,CUST-00440,2025-07-07 09:32:00,direct,desktop,True,True,ORD-000475
SES-0000276,CUST-01164,2026-06-25 03:35:00,paid_search,desktop,False,False,
SES-0000277,CUST-00165,2025-10-22 08:09:00,social,desktop,False,False,
SES-0000278,CUST-01856,2026-03-01 20:19:00,direct,mobile,False,False,
SES-0000279,CUST-01634,2025-12-15 02:14:00,organic_search,desktop,False,False,
SES-0000280,CUST-01695,2025-01-22 07:59:00,direct,desktop,False,False,
SES-0000281,CUST-01746,2025-08-27 15:08:00,social,desktop,True,True,ORD-001083
SES-0000282,CUST-01558,2026-07-30 03:47:00,affiliate,mobile,False,False,
SES-0000283,CUST-01092,2025-04-14 03:15:00,direct,mobile,True,False,
SES-0000284,CUST-01115,2025-12-11 12:07:00,direct,desktop,False,False,
SES-0000285,,2025-10-01 04:11:00,paid_search,desktop,False,False,
SES-0000286,CUST-01663,2025-08-26 09:01:00,social,mobile,True,True,ORD-002559
SES-0000287,CUST-00384,2025-08-19 00:13:00,social,desktop,False,False,
SES-0000288,CUST-01369,2025-12-21 06:22:00,direct,mobile,False,False,
SES-0000289,CUST-01163,2025-01-24 02:36:00,organic_search,mobile,False,False,
SES-0000290,,2025-08-02 23:41:00,direct,mobile,False,False,
SES-0000291,CUST-01968,2025-10-31 16:57:00,affiliate,mobile,False,False,
SES-0000292,CUST-01723,2025-12-15 03:27:00,organic_search,mobile,False,False,
SES-0000293,CUST-00094,2026-05-30 10:02:00,social,mobile,False,False,
SES-0000294,CUST-00952,2025-02-19 04:01:00,organic_search,desktop,False,False,
SES-0000295,CUST-01494,2026-06-09 06:50:00,direct,mobile,True,False,
SES-0000296,CUST-01898,2025-09-11 20:12:00,paid_search,tablet,True,True,ORD-007850
SES-0000297,CUST-00562,2025-04-13 23:08:00,social,desktop,False,False,
SES-0000298,CUST-01795,2026-04-04 03:16:00,social,desktop,False,False,
SES-0000299,CUST-01719,2025-12-08 07:25:00,social,mobile,True,False,
SES-0000300,,2025-05-18 12:45:00,direct,mobile,True,False,
SES-0000301,CUST-01993,2026-06-20 13:29:00,direct,desktop,True,True,ORD-002048
SES-0000302,CUST-00885,2025-05-21 13:09:00,email,mobile,False,False,
SES-0000303,CUST-01728,2025-03-03 11:11:00,paid_search,mobile,False,False,
SES-0000304,CUST-01137,2025-05-02 03:18:00,organic_search,mobile,True,False,
SES-0000305,CUST-00922,2026-06-30 16:29:00,organic_search,desktop,False,False,
SES-0000306,CUST-00508,2025-08-11 16:32:00,paid_search,mobile,False,False,
SES-0000307,,2025-08-18 13:52:00,social,desktop,True,False,
SES-0000308,CUST-00047,2026-02-24 22:34:00,affiliate,mobile,False,False,
SES-0000309,,2026-06-28 17:52:00,direct,desktop,False,False,
SES-0000310,CUST-01165,2025-06-09 08:06:00,affiliate,desktop,False,False,
SES-0000311,CUST-00332,2025-03-05 13:18:00,direct,desktop,True,False,
SES-0000312,,2025-09-12 13:02:00,organic_search,mobile,False,False,
SES-0000313,CUST-00080,2026-03-30 08:23:00,email,mobile,False,False,
SES-0000314,CUST-01175,2025-09-18 19:43:00,social,mobile,False,False,
SES-0000315,,2025-11-18 05:56:00,direct,desktop,False,False,
SES-0000316,,2025-10-01 04:23:00,paid_search,desktop,False,False,
SES-0000317,CUST-00137,2026-03-03 11:24:00,direct,mobile,False,False,
SES-0000318,CUST-00555,2025-09-11 08:00:00,organic_search,mobile,True,True,ORD-007644
SES-0000319,CUST-00042,2025-01-21 11:20:00,paid_search,mobile,False,False,
SES-0000320,CUST-01256,2025-02-02 09:51:00,organic_search,mobile,False,False,
SES-0000321,CUST-01712,2025-03-29 20:45:00,paid_search,mobile,False,False,
SES-0000322,CUST-00490,2025-11-18 03:01:00,organic_search,mobile,True,True,ORD-002748
SES-0000323,CUST-01023,2025-08-19 09:24:00,direct,desktop,True,True,ORD-000976
SES-0000324,CUST-01781,2025-06-30 15:21:00,direct,mobile,True,True,ORD-001807
SES-0000325,,2025-11-13 03:53:00,paid_search,desktop,False,False,
SES-0000326,CUST-00325,2026-04-21 17:55:00,paid_search,mobile,False,False,
SES-0000327,CUST-00253,2025-02-01 04:32:00,organic_search,mobile,False,False,
SES-0000328,CUST-01862,2025-01-22 11:20:00,affiliate,mobile,False,False,
SES-0000329,CUST-01471,2026-05-03 10:55:00,social,mobile,True,False,
SES-0000330,CUST-01801,2025-08-08 10:38:00,social,desktop,False,False,
SES-0000331,CUST-00446,2026-06-02 06:37:00,organic_search,mobile,True,True,ORD-000190
SES-0000332,CUST-01982,2025-05-01 07:59:00,organic_search,tablet,False,False,
SES-0000333,CUST-00887,2025-11-02 20:26:00,affiliate,desktop,False,False,
SES-0000334,CUST-01069,2025-10-08 08:06:00,paid_search,mobile,True,True,ORD-007102
SES-0000335,,2025-01-27 07:49:00,direct,mobile,False,False,
SES-0000336,,2025-06-08 15:23:00,paid_search,mobile,False,False,
SES-0000337,CUST-01868,2026-07-30 19:12:00,paid_search,mobile,False,False,
SES-0000338,,2025-07-24 15:22:00,social,desktop,False,False,
SES-0000339,CUST-00176,2025-05-17 20:41:00,organic_search,mobile,False,False,
SES-0000340,,2025-02-15 16:05:00,email,mobile,False,False,
SES-0000341,CUST-01098,2026-07-26 21:18:00,paid_search,tablet,False,False,
SES-0000342,CUST-01224,2025-03-14 14:20:00,paid_search,desktop,False,False,
SES-0000343,CUST-01295,2025-02-02 18:58:00,paid_search,desktop,True,False,
SES-0000344,CUST-00350,2025-05-30 13:22:00,organic_search,mobile,True,False,
SES-0000345,CUST-01046,2025-01-16 09:10:00,email,mobile,False,False,
SES-0000346,,2026-01-27 23:57:00,social,mobile,False,False,
SES-0000347,CUST-00884,2026-06-01 18:29:00,social,mobile,False,False,
SES-0000348,CUST-00728,2025-07-24 09:05:00,paid_search,desktop,True,True,ORD-002735
SES-0000349,CUST-01991,2025-11-23 11:35:00,organic_search,mobile,False,False,
SES-0000350,CUST-01405,2025-10-20 06:51:00,paid_search,mobile,True,False,
SES-0000351,CUST-00221,2025-06-09 05:54:00,direct,mobile,False,False,
SES-0000352,CUST-00772,2025-01-26 04:25:00,email,mobile,False,False,
SES-0000353,,2026-02-25 05:46:00,social,desktop,False,False,
SES-0000354,CUST-00696,2026-02-22 10:00:00,social,mobile,False,False,
SES-0000355,CUST-01547,2025-04-05 17:46:00,social,mobile,False,False,
SES-0000356,CUST-01315,2025-12-07 10:20:00,email,mobile,False,False,
SES-0000357,CUST-00343,2025-01-07 04:40:00,affiliate,mobile,True,True,ORD-003006
SES-0000358,CUST-00153,2026-03-27 02:10:00,email,mobile,False,False,
