order_id,customer_id,order_date,order_status,sales_channel,currency,gross_merchandise_amount,discount_amount,subtotal_amount,shipping_amount,tax_amount,order_total_amount
ORD-000074,CUST-01802,2026-06-27,completed,web,INR,18787.38,1868.73,16918.65,0,3045.36,19964.01
ORD-000075,CUST-00658,2026-06-04,completed,web,INR,8923.06,783.62,8139.4400000000005,0,1465.1,9604.54
ORD-000076,CUST-01122,2025-12-25,completed,web,INR,23266.949999999997,3578.92,19688.03,0,3543.85,23231.88
ORD-000077,CUST-01752,2026-07-14,completed,web,INR,43348.15,4189.3,39158.850000000006,0,7048.59,46207.44
ORD-000078,CUST-00721,2025-02-25,completed,web,INR,34450.14,0.0,34450.14,0,6201.03,40651.17
ORD-000079,CUST-00590,2026-06-09,cancelled,web,INR,11669.45,577.78,11091.67,0,1996.5,13088.17
ORD-000080,CUST-00089,2026-07-29,cancelled,mobile_app,INR,26066.79,669.96,25396.83,0,4571.43,29968.26
ORD-000081,CUST-01816,2025-08-06,completed,web,INR,17670.93,830.56,16840.37,0,3031.27,19871.64
ORD-000082,CUST-00222,2026-07-19,cancelled,web,INR,3075.5499999999997,0.0,3075.5499999999997,0,553.6,3629.15
ORD-000083,CUST-00431,2025-10-20,completed,web,INR,7334.55,1086.48,6248.07,0,1124.65,7372.72
ORD-000084,CUST-00279,2025-09-28,completed,web,INR,6226.72,534.4,5692.32,0,1024.62,6716.94
ORD-000085,CUST-01416,2026-03-11,returned,mobile_app,INR,10845.66,602.11,10243.55,0,1843.84,12087.39
ORD-000086,CUST-00730,2025-10-16,returned,mobile_app,INR,8436.93,855.38,7581.55,0,1364.68,8946.23
ORD-000087,CUST-01410,2026-05-21,completed,mobile_app,INR,11972.73,0.0,11972.73,0,2155.09,14127.82
ORD-000088,CUST-01215,2026-02-20,completed,web,INR,2811.42,0.0,2811.42,0,506.06,3317.48
ORD-000089,CUST-00031,2025-09-24,completed,mobile_app,INR,9478.29,693.6,8784.69,0,1581.24,10365.93
ORD-000090,CUST-00616,2026-07-18,completed,web,INR,6669.709999999999,0.0,6669.709999999999,0,1200.55,7870.26
ORD-000091,CUST-00009,2025-04-17,shipped,web,INR,1851.71,0.0,1851.71,99,333.31,2284.02
ORD-000092,CUST-00132,2026-04-29,completed,web,INR,2726.24,311.11,2415.13,0,434.72,2849.85
ORD-000093,CUST-00947,2026-07-17,returned,web,INR,8770.119999999999,134.67,8635.45,0,1554.38,10189.83
ORD-000094,CUST-00530,2026-07-03,shipped,web,INR,9010.279999999999,1057.43,7952.849999999999,0,1431.51,9384.36
ORD-000095,CUST-00179,2026-05-02,completed,web,INR,21653.12,1500.05,20153.07,0,3627.55,23780.62
ORD-000096,CUST-00818,2025-12-19,cancelled,mobile_app,INR,1474.48,0.0,1474.48,49,265.41,1788.89
ORD-000097,CUST-00904,2026-06-26,shipped,mobile_app,INR,5654.73,0.0,5654.73,0,1017.85,6672.58
ORD-000098,CUST-01985,2026-07-24,completed,web,INR,8960.400000000001,1017.08,7943.320000000001,0,1429.8,9373.12
ORD-000099,CUST-01324,2026-05-23,completed,web,INR,9343.5,590.88,8752.619999999999,0,1575.47,10328.09
ORD-000100,CUST-00786,2025-08-06,cancelled,web,INR,33883.18,696.23,33186.95,0,5973.65,39160.6
ORD-000101,CUST-00947,2026-07-07,pending,mobile_app,INR,4282.18,226.85999999999999,4055.3199999999997,0,729.96,4785.28
ORD-000102,CUST-00179,2026-05-13,completed,web,INR,16164.830000000002,362.79,15802.04,0,2844.37,18646.41
ORD-000103,CUST-00774,2026-01-26,shipped,web,INR,18092.9,624.0999999999999,17468.8,0,3144.38,20613.18
ORD-000104,CUST-01163,2026-07-07,cancelled,web,INR,10612.95,644.8,9968.150000000001,0,1794.27,11762.42
ORD-000105,CUST-00042,2026-01-29,pending,web,INR,24714.83,292.69,24422.140000000003,0,4395.99,28818.13
ORD-000106,CUST-01840,2025-08-05,completed,web,INR,25440.16,0.0,25440.16,0,4579.23,30019.39
ORD-000107,CUST-01031,2025-04-20,completed,mobile_app,INR,7209.65,570.64,6639.01,0,1195.02,7834.03
ORD-000108,CUST-01574,2026-04-13,returned,mobile_app,INR,3130.1099999999997,468.32,2661.79,0,479.12,3140.91
ORD-000109,CUST-00552,2025-12-17,completed,mobile_app,INR,11955.890000000001,581.96,11373.93,0,2047.31,13421.24
ORD-000110,CUST-01673,2025-06-12,completed,web,INR,24809.620000000003,1091.27,23718.35,0,4269.3,27987.65
ORD-000111,CUST-00734,2026-04-15,completed,web,INR,14552.320000000002,1700.6699999999998,12851.650000000001,0,2313.3,15164.95
ORD-000112,CUST-01857,2025-05-21,completed,mobile_app,INR,21899.43,2963.71,18935.72,0,3408.43,22344.15
ORD-000113,CUST-01045,2026-06-07,shipped,web,INR,2749.32,274.93,2474.39,0,445.39,2919.78
ORD-000114,CUST-01274,2025-10-06,completed,web,INR,8657.29,772.19,7885.1,0,1419.32,9304.42
ORD-000115,CUST-00408,2025-04-26,cancelled,mobile_app,INR,14211.99,371.06,13840.93,0,2491.37,16332.3
ORD-000116,CUST-01990,2026-06-30,completed,web,INR,1039.17,108.56,930.61,79,167.51,1177.12
ORD-000117,CUST-00386,2026-05-02,cancelled,web,INR,8491.38,0.0,8491.38,0,1528.45,10019.83
ORD-000118,CUST-00067,2026-06-08,completed,web,INR,2196.42,0.0,2196.42,0,395.36,2591.78
ORD-000119,CUST-00880,2025-09-10,completed,web,INR,20863.18,1591.02,19272.16,0,3468.99,22741.15
ORD-000120,CUST-01670,2026-04-06,pending,web,INR,4835.709999999999,241.95,4593.76,0,826.88,5420.64
ORD-000121,CUST-01843,2026-03-27,cancelled,web,INR,8952.939999999999,647.51,8305.43,0,1494.98,9800.41
ORD-000122,CUST-01715,2025-12-11,completed,web,INR,3462.62,0.0,3462.62,0,623.27,4085.89
ORD-000123,CUST-01107,2026-06-17,completed,mobile_app,INR,3148.66,472.3,2676.36,0,481.74,3158.1
ORD-000124,CUST-01834,2026-06-28,completed,mobile_app,INR,30025.61,2765.77,27259.84,0,4906.77,32166.61
ORD-000125,CUST-00985,2025-10-16,pending,mobile_app,INR,17149.46,1391.25,15758.21,0,2836.48,18594.69
ORD-000126,CUST-00957,2025-12-13,completed,mobile_app,INR,1311.44,196.72,1114.72,49,200.65,1364.37
ORD-000127,CUST-00362,2026-06-14,returned,web,INR,24864.51,646.1600000000001,24218.350000000002,0,4359.3,28577.65
ORD-000128,CUST-01576,2026-07-09,completed,web,INR,13510.029999999999,938.21,12571.82,0,2262.93,14834.75
ORD-000129,CUST-00633,2026-07-03,shipped,web,INR,12961.55,649.69,12311.86,0,2216.13,14527.99
ORD-000130,CUST-00391,2026-02-26,completed,web,INR,17807.89,567.24,17240.65,0,3103.32,20343.97
ORD-000131,CUST-00740,2026-04-29,completed,mobile_app,INR,12352.74,792.28,11560.46,0,2080.88,13641.34
ORD-000132,CUST-01207,2025-05-02,returned,web,INR,9046.92,1298.6399999999999,7748.280000000001,0,1394.69,9142.97
ORD-000133,CUST-00541,2025-10-31,completed,mobile_app,INR,8921.29,196.14999999999998,8725.14,0,1570.53,10295.67
ORD-000134,CUST-00718,2026-04-18,returned,web,INR,8071.49,561.06,7510.43,0,1351.88,8862.31
ORD-000135,CUST-00661,2026-03-03,completed,web,INR,8427.12,1328.1599999999999,7098.96,0,1277.81,8376.77
ORD-000136,CUST-01193,2026-04-23,completed,mobile_app,INR,34559.020000000004,3594.7,30964.32,0,5573.58,36537.9
ORD-000137,CUST-01429,2025-03-22,returned,web,INR,20867.0,0.0,20867.0,0,3756.06,24623.06
ORD-000138,CUST-01352,2025-02-07,shipped,mobile_app,INR,5919.72,1183.94,4735.78,0,852.44,5588.22
ORD-000139,CUST-00283,2025-11-16,completed,mobile_app,INR,9964.07,107.88,9856.19,0,1774.11,11630.3
ORD-000140,CUST-00695,2025-12-27,completed,mobile_app,INR,9614.56,0.0,9614.56,0,1730.62,11345.18
ORD-000141,CUST-01297,2025-01-06,completed,mobile_app,INR,14105.419999999998,2115.81,11989.61,0,2158.13,14147.74
ORD-000142,CUST-00433,2026-06-06,returned,web,INR,15191.82,1916.7400000000002,13275.08,0,2389.51,15664.59
ORD-000143,CUST-00139,2026-05-28,completed,web,INR,17225.16,2096.84,15128.32,0,2723.1,17851.42
ORD-000144,CUST-00644,2025-06-09,completed,mobile_app,INR,7330.4,0.0,7330.4,0,1319.47,8649.87
ORD-000145,CUST-01358,2026-03-03,completed,web,INR,13811.08,425.83,13385.25,0,2409.34,15794.59
ORD-000146,CUST-01328,2025-11-15,shipped,web,INR,29405.840000000004,0.0,29405.840000000004,0,5293.05,34698.89
ORD-000147,CUST-00260,2026-07-10,returned,web,INR,5826.64,582.66,5243.98,0,943.92,6187.9
ORD-000148,CUST-01354,2026-06-01,cancelled,web,INR,19387.449999999997,417.65,18969.8,0,3414.56,22384.36
ORD-000149,CUST-00389,2026-05-14,completed,web,INR,1095.08,48.32,1046.76,49,188.42,1284.18
ORD-000150,CUST-01483,2025-01-10,completed,mobile_app,INR,3339.53,500.93,2838.6,0,510.95,3349.55
ORD-000151,CUST-01134,2026-05-26,completed,web,INR,3671.55,183.58,3487.97,0,627.83,4115.8
ORD-000152,CUST-00254,2026-05-16,returned,web,INR,18695.719999999998,152.36,18543.36,0,3337.8,21881.16
ORD-000153,CUST-00701,2025-05-14,completed,web,INR,14365.939999999999,2154.89,12211.05,0,2197.99,14409.04
ORD-000154,CUST-01638,2026-01-31,completed,web,INR,20827.61,2390.89,18436.72,0,3318.61,21755.33
ORD-000155,CUST-00866,2026-05-14,completed,web,INR,1197.13,119.71,1077.42,99,193.94,1370.36
ORD-000156,CUST-01377,2026-07-24,pending,mobile_app,INR,8855.18,737.29,8117.890000000001,0,1461.22,9579.11
ORD-000157,CUST-01497,2026-07-02,completed,web,INR,5726.8,795.61,4931.1900000000005,0,887.61,5818.8
ORD-000158,CUST-00062,2026-05-26,completed,web,INR,23289.63,2328.96,20960.67,0,3772.92,24733.59
ORD-000159,CUST-01863,2026-07-20,returned,web,INR,25276.120000000003,1657.92,23618.2,0,4251.28,27869.48
ORD-000160,CUST-00672,2026-07-29,pending,web,INR,11627.35,448.28999999999996,11179.060000000001,0,2012.23,13191.29
ORD-000161,CUST-01587,2026-07-19,completed,mobile_app,INR,17809.58,2346.82,15462.76,0,2783.3,18246.06
ORD-000162,CUST-00934,2026-01-26,cancelled,mobile_app,INR,14155.96,0.0,14155.96,0,2548.07,16704.03
ORD-000163,CUST-01154,2026-06-11,completed,mobile_app,INR,1757.5500000000002,36.24,1721.31,79,309.84,2110.15
ORD-000164,CUST-00722,2026-06-24,completed,mobile_app,INR,22932.28,1317.47,21614.809999999998,0,3890.67,25505.48
ORD-000165,CUST-01707,2026-07-31,completed,web,INR,2659.57,0.0,2659.57,0,478.72,3138.29
ORD-000166,CUST-00235,2025-08-22,shipped,mobile_app,INR,7253.79,1088.07,6165.719999999999,0,1109.83,7275.55
ORD-000167,CUST-01793,2026-03-11,shipped,web,INR,16606.47,2722.16,13884.310000000001,0,2499.18,16383.49
ORD-000168,CUST-00415,2025-12-27,completed,mobile_app,INR,11216.220000000001,1682.44,9533.78,0,1716.08,11249.86
ORD-000169,CUST-01767,2025-05-19,completed,web,INR,11554.02,1461.94,10092.08,0,1816.57,11908.65
ORD-000170,CUST-00050,2026-04-15,shipped,web,INR,42682.56,365.58000000000004,42316.979999999996,0,7617.06,49934.04
ORD-000171,CUST-00028,2026-03-19,completed,web,INR,2054.88,0.0,2054.88,0,369.88,2424.76
ORD-000172,CUST-00187,2026-02-25,shipped,web,INR,11043.8,0.0,11043.8,0,1987.88,13031.68
ORD-000173,CUST-01096,2025-09-16,shipped,web,INR,5291.64,389.98,4901.66,0,882.3,5783.96
ORD-000174,CUST-00533,2025-07-25,completed,web,INR,23965.58,930.69,23034.89,0,4146.28,27181.17
ORD-000175,CUST-01196,2025-09-12,completed,mobile_app,INR,16564.530000000002,1284.11,15280.42,0,2750.48,18030.9
ORD-000176,CUST-01640,2025-03-17,completed,web,INR,4112.63,0.0,4112.63,0,740.27,4852.9
ORD-000177,CUST-00055,2026-04-11,completed,web,INR,9320.56,964.4200000000001,8356.14,0,1504.11,9860.25
ORD-000178,CUST-01054,2026-07-26,completed,web,INR,22671.36,906.4499999999999,21764.91,0,3917.68,25682.59
ORD-000179,CUST-01479,2025-06-17,shipped,web,INR,12499.96,746.52,11753.44,0,2115.62,13869.06
ORD-000180,CUST-00849,2026-07-02,cancelled,web,INR,3901.74,585.26,3316.48,0,596.97,3913.45
ORD-000181,CUST-01851,2025-11-15,completed,web,INR,1367.46,68.37,1299.09,49,233.84,1581.93
ORD-000182,CUST-01325,2026-05-11,shipped,web,INR,28202.66,1918.6399999999999,26284.02,0,4731.12,31015.14
ORD-000183,CUST-00070,2025-10-30,completed,web,INR,4410.08,0.0,4410.08,0,793.81,5203.89
ORD-000184,CUST-01084,2026-03-24,cancelled,web,INR,5450.77,175.09,5275.68,0,949.62,6225.3
ORD-000185,CUST-00768,2026-06-17,completed,web,INR,5664.03,566.4,5097.63,0,917.57,6015.2
ORD-000186,CUST-00264,2026-06-25,completed,mobile_app,INR,9905.81,1628.48,8277.33,0,1489.92,9767.25
ORD-000187,CUST-01901,2025-10-18,completed,mobile_app,INR,5805.18,290.25,5514.93,0,992.69,6507.62
ORD-000188,CUST-00446,2026-05-16,completed,web,INR,31381.34,0.0,31381.34,0,5648.64,37029.98
ORD-000189,CUST-00167,2025-10-30,pending,mobile_app,INR,18441.29,1351.18,17090.11,0,3076.22,20166.33
ORD-000190,CUST-00446,2026-01-19,completed,mobile_app,INR,4189.9,209.5,3980.4,0,716.47,4696.87
ORD-000191,CUST-01647,2025-09-23,completed,web,INR,20553.49,0.0,20553.49,0,3699.63,24253.12
ORD-000192,CUST-01200,2026-02-15,completed,web,INR,3408.4199999999996,297.85,3110.5699999999997,0,559.9,3670.47
ORD-000193,CUST-01640,2025-03-22,completed,web,INR,7764.070000000001,718.84,7045.23,0,1268.14,8313.37
ORD-000194,CUST-00924,2025-02-03,completed,web,INR,21887.230000000003,2146.05,19741.18,0,3553.41,23294.59
ORD-000195,CUST-00234,2026-05-16,completed,mobile_app,INR,7578.24,757.82,6820.42,0,1227.68,8048.1
ORD-000196,CUST-00776,2026-06-24,completed,mobile_app,INR,38653.920000000006,3414.71,35239.21,0,6343.06,41582.27
ORD-000197,CUST-00400,2025-11-03,cancelled,web,INR,38296.55,699.6,37596.95,0,6767.45,44364.4
ORD-000198,CUST-01114,2026-03-28,completed,web,INR,40555.32,1955.4099999999999,38599.91,0,6947.98,45547.89
ORD-000199,CUST-00539,2025-08-25,completed,mobile_app,INR,30404.979999999996,2438.75,27966.229999999996,0,5033.92,33000.15
ORD-000200,CUST-01941,2025-08-09,completed,web,INR,19980.239999999998,385.1,19595.14,0,3527.13,23122.27
ORD-000201,CUST-00755,2026-07-22,returned,web,INR,830.91,124.64,706.27,49,127.13,882.4
ORD-000202,CUST-00629,2025-05-07,returned,web,INR,11302.560000000001,1006.27,10296.29,0,1853.33,12149.62
ORD-000203,CUST-01969,2026-06-24,completed,mobile_app,INR,18065.22,0.0,18065.22,0,3251.74,21316.96
ORD-000204,CUST-01041,2025-12-13,shipped,mobile_app,INR,10820.1,1481.8,9338.300000000001,0,1680.89,11019.19
ORD-000205,CUST-00341,2026-06-29,completed,web,INR,13629.01,1079.44,12549.57,0,2258.92,14808.49
ORD-000206,CUST-00961,2025-08-26,completed,mobile_app,INR,38817.35,1497.91,37319.44,0,6717.5,44036.94
ORD-000207,CUST-00510,2025-01-04,cancelled,web,INR,30905.14,1295.59,29609.550000000003,0,5329.72,34939.27
ORD-000208,CUST-01434,2026-04-06,returned,web,INR,12131.27,0.0,12131.27,0,2183.63,14314.9
ORD-000209,CUST-01148,2026-01-27,completed,mobile_app,INR,20126.51,0.0,20126.51,0,3622.77,23749.28
ORD-000210,CUST-01461,2026-03-27,returned,mobile_app,INR,10727.94,0.0,10727.94,0,1931.03,12658.97
ORD-000211,CUST-01881,2025-10-17,shipped,web,INR,40750.31,1558.01,39192.3,0,7054.61,46246.91
ORD-000212,CUST-01459,2026-03-06,cancelled,web,INR,7626.879999999999,473.69,7153.1900000000005,0,1287.57,8440.76
ORD-000213,CUST-00682,2025-08-30,cancelled,mobile_app,INR,813.04,81.3,731.74,99,131.71,962.45
ORD-000214,CUST-00404,2026-07-28,completed,web,INR,5630.18,0.0,5630.18,0,1013.43,6643.61
ORD-000215,CUST-01059,2025-10-23,returned,web,INR,10399.37,144.77,10254.6,0,1845.83,12100.43
ORD-000216,CUST-00899,2025-07-16,completed,web,INR,3158.56,0.0,3158.56,0,568.54,3727.1
ORD-000217,CUST-00627,2025-07-14,completed,web,INR,41733.03,2373.78,39359.25,0,7084.66,46443.91
ORD-000218,CUST-01623,2026-07-17,completed,web,INR,9510.3,0.0,9510.3,0,1711.85,11222.15
ORD-000219,CUST-01819,2026-01-19,cancelled,web,INR,4191.3,0.0,4191.3,0,754.43,4945.73
ORD-000220,CUST-00764,2026-06-08,completed,web,INR,5442.370000000001,272.12,5170.25,0,930.64,6100.89
ORD-000221,CUST-01362,2026-03-09,completed,web,INR,14825.7,677.23,14148.470000000001,0,2546.72,16695.19
ORD-000222,CUST-01969,2026-05-04,cancelled,web,INR,21560.29,1408.67,20151.620000000003,0,3627.29,23778.91
ORD-000223,CUST-00024,2026-06-17,completed,web,INR,19072.36,2168.79,16903.57,0,3042.64,19946.21
ORD-000224,CUST-00730,2025-10-13,completed,web,INR,24412.92,0.0,24412.92,0,4394.33,28807.25
ORD-000225,CUST-01476,2026-07-30,completed,web,INR,39055.72,1239.17,37816.549999999996,0,6806.98,44623.53
ORD-000226,CUST-00996,2025-08-31,shipped,mobile_app,INR,348.18,0.0,348.18,99,62.67,509.85
ORD-000227,CUST-01584,2026-07-30,completed,mobile_app,INR,5328.06,0.0,5328.06,0,959.05,6287.11
ORD-000228,CUST-00950,2025-02-07,completed,web,INR,13001.73,941.98,12059.75,0,2170.76,14230.51
ORD-000229,CUST-00129,2026-01-14,completed,mobile_app,INR,19603.120000000003,1307.88,18295.239999999998,0,3293.14,21588.38
ORD-000230,CUST-00868,2026-03-17,returned,mobile_app,INR,32761.36,2548.7000000000003,30212.66,0,5438.28,35650.94
ORD-000231,CUST-00810,2026-07-30,cancelled,web,INR,43530.04,380.86,43149.18,0,7766.85,50916.03
ORD-000232,CUST-01692,2026-07-14,completed,mobile_app,INR,12341.939999999999,481.2,11860.74,0,2134.93,13995.67
ORD-000233,CUST-00295,2026-02-06,returned,web,INR,32093.62,0.0,32093.62,0,5776.85,37870.47
ORD-000234,CUST-00311,2026-03-10,cancelled,web,INR,17157.9,699.25,16458.65,0,2962.56,19421.21
ORD-000235,CUST-00283,2025-10-31,shipped,web,INR,18985.45,2417.11,16568.34,0,2982.3,19550.64
ORD-000236,CUST-01136,2026-07-01,completed,web,INR,2027.53,0.0,2027.53,0,364.96,2392.49
ORD-000237,CUST-01992,2025-09-03,completed,mobile_app,INR,22289.84,153.62,22136.22,0,3984.52,26120.74
